label,mae,rmse,r2,dir_acc,dir_acc_tau0.5,pnl_proxy,n,horizon,target,model,best_iter,auc,naive_dir_acc
reg H=2 zscore_fwd,0.7651302503676538,1.000513534260908,0.05802679361633578,0.5739576436829739,0.7682328689223771,0.17754833373087234,632869,2,zscore_fwd,lgbm_reg,108,,
naive H=2 zscore_fwd,0.9392522190312863,1.3152725197939474,-0.6278864452243331,0.6038279643970553,0.6021248116021459,0.16093987615588087,632869,2,zscore_fwd,naive_zlag1,0,,
cls H=2 zscore_fwd,,,,0.621390840758514,,0.14974781968879802,632869,2,zscore_fwd,lgbm_cls,408,0.6610899872564713,0.6038279643970553
reg H=2 zscore_delta,0.9251399416073586,1.2952452306539952,0.004651027556163867,0.5227416732372734,0.5653846153846154,0.0550838253575147,632869,2,zscore_delta,lgbm_reg,66,,
naive H=2 zscore_delta,1.2973089398181445,1.6997747281722766,-0.7141708470424599,0.4478288555767465,0.442690163260574,-0.05595453006428547,632869,2,zscore_delta,naive_zlag1,0,,
cls H=2 zscore_delta,,,,0.5401617066096231,,0.05602295409606803,613333,2,zscore_delta,lgbm_cls,21,0.558360877435571,0.46209318592020976
reg H=10 zscore_fwd,0.7832049165607953,1.0193366384919882,0.02301306614630738,0.5300221398700176,0.7659574468085106,0.11107817997016868,630085,10,zscore_fwd,lgbm_reg,37,,
naive H=10 zscore_fwd,1.0011203085018647,1.3728473268076418,-0.7721397668085588,0.5727354245855718,0.5638138237481375,0.09545379798906295,630085,10,zscore_fwd,naive_zlag1,0,,
cls H=10 zscore_fwd,,,,0.5941928469968337,,0.08536509162717806,630085,10,zscore_fwd,lgbm_cls,156,0.6214491920224852,0.5727354245855718
reg H=10 zscore_delta,0.9926587718607819,1.3555205230236809,0.018113022997386152,0.5504495425220407,0.7408306364617044,0.12333261425641301,630085,10,zscore_delta,lgbm_reg,45,,
naive H=10 zscore_delta,1.3791284166746218,1.7971187661187267,-0.7258492723829493,0.44722696144171026,0.4304697279658707,-0.1217506693549317,630085,10,zscore_delta,naive_zlag1,0,,
cls H=10 zscore_delta,,,,0.5541123952596412,,0.12547578986298538,626788,10,zscore_delta,lgbm_cls,32,0.5770827510450849,0.44957944312909626
reg H=20 zscore_fwd,0.7890006724248159,1.0257542783682465,0.011169691148539829,0.49798602023554944,0.9285714285714286,0.07412436512648699,626620,20,zscore_fwd,lgbm_reg,34,,
naive H=20 zscore_fwd,1.0338909431203558,1.4023874914867016,-0.8482944284044074,0.557080846446012,0.5445182335318188,0.06368793347975892,626620,20,zscore_fwd,naive_zlag1,0,,
cls H=20 zscore_fwd,,,,0.5785276563148319,,0.048057258892516566,626620,20,zscore_fwd,lgbm_cls,64,0.5997838959968247,0.557080846446012
reg H=20 zscore_delta,1.0227500903738131,1.383338986850792,0.027856398779927072,0.5597550018591899,0.7404058768610879,0.16147078920025787,626617,20,zscore_delta,lgbm_reg,56,,
naive H=20 zscore_delta,1.4216249461674273,1.8459923852913058,-0.7311432176983514,0.44247443015430477,0.42020401973148575,-0.15335838220650252,626617,20,zscore_delta,naive_zlag1,0,,
cls H=20 zscore_delta,,,,0.5612157322154333,,0.1621915816149918,625697,20,zscore_delta,lgbm_cls,21,0.5884710699073517,0.4431250269699231
reg H=60 zscore_fwd,0.7945158567616488,1.031992480008261,0.0007565479730865521,0.4565761561306746,,0.008196061711486964,612820,60,zscore_fwd,lgbm_reg,18,,
naive H=60 zscore_fwd,1.0946401426393333,1.4589148294860828,-0.997000268791495,0.5240217355830423,0.5071363506587087,-0.0032329509560428535,612820,60,zscore_fwd,naive_zlag1,0,,
cls H=60 zscore_fwd,,,,0.5599409288208609,,0.0071279563502379675,612820,60,zscore_fwd,lgbm_cls,61,0.5629078589574048,0.5240217355830423
reg H=60 zscore_delta,1.0678286322010584,1.4220856279306773,0.049198110795536265,0.5739788550252359,0.7196341355119439,0.2344636535146406,612817,60,zscore_delta,lgbm_reg,76,,
naive H=60 zscore_delta,1.492797942562802,1.9311130494189044,-0.7532907376808586,0.43028506062984545,0.40285508408902426,-0.2212492131479855,612817,60,zscore_delta,naive_zlag1,0,,
cls H=60 zscore_delta,,,,0.5759286698041161,,0.23278844386633302,612812,60,zscore_delta,lgbm_cls,43,0.6091191782887474,0.4302885713726233
reg H=120 zscore_fwd,0.7947309479910971,1.0336506897272024,-0.0003228077674113372,0.4533168952239411,,0.0023043945850972215,592120,120,zscore_fwd,lgbm_reg,11,,
naive H=120 zscore_fwd,1.1136158751843903,1.4745317359962005,-1.0356392771857301,0.5141728028102411,0.4963341417165107,-0.017784743476629224,592120,120,zscore_fwd,naive_zlag1,0,,
cls H=120 zscore_fwd,,,,0.55282881848274,,0.004413625916696286,592120,120,zscore_fwd,lgbm_cls,32,0.5555406790172159,0.5141728028102411
reg H=120 zscore_delta,1.0799333527400443,1.4318715758388334,0.057232075641289404,0.5747174967109541,0.7161988115797793,0.2536460417667251,592117,120,zscore_delta,lgbm_reg,114,,
naive H=120 zscore_delta,1.5107694621382068,1.955312129432717,-0.7580403997635143,0.43072568428199154,0.4000708976429347,-0.23637743418244,592117,120,zscore_delta,naive_zlag1,0,,
cls H=120 zscore_delta,,,,0.5794699358403829,,0.25328442755733643,592117,120,zscore_delta,lgbm_cls,84,0.6147859437478276,0.43072568428199154
