label,mae,rmse,r2,dir_acc,dir_acc_tau0.5,pnl_proxy,n,target,features,n_features,n_aux,best_iter,model,naive_dir_acc
zscore_fwd spread_only,0.7666690973508646,1.0091422382750106,0.05648413099039762,0.5817921614818365,0.7350153661000194,0.17145578962657032,588351,zscore_fwd,spread_only,5,0,268,lgbm_reg,
naive zscore_fwd spread_only,0.9432285980117243,1.332386169624511,-0.6447680931756805,0.598013770691305,0.5957478425501938,0.15286636620200614,588351,zscore_fwd,spread_only,1,0,0,naive_zlag1,
cls zscore_fwd spread_only,,,,0.6149173364788586,,0.14505544834985423,588349,zscore_fwd,spread_only,5,0,626,lgbm_cls,0.5980175032166283
zscore_fwd with_LSR_liqs,0.7667738627870498,1.00891678641765,0.056905664517618804,0.5814522283466842,0.7338016824771791,0.17308224886669815,588351,zscore_fwd,with_LSR_liqs,13,8,171,lgbm_reg,
naive zscore_fwd with_LSR_liqs,0.9432285980117243,1.332386169624511,-0.6447680931756805,0.598013770691305,0.5957478425501938,0.15286636620200614,588351,zscore_fwd,with_LSR_liqs,1,0,0,naive_zlag1,
cls zscore_fwd with_LSR_liqs,,,,0.6148714453496139,,0.14720042586724716,588349,zscore_fwd,with_LSR_liqs,13,8,536,lgbm_cls,0.5980175032166283
zscore_delta spread_only,0.9218358983035517,1.2980675975108906,0.008960454860848954,0.5307249086428146,0.6505561948599923,0.0822562554877647,588350,zscore_delta,spread_only,5,0,52,lgbm_reg,
naive zscore_delta spread_only,1.3082281468874501,1.7301498714351602,-0.7606126408212288,0.4443477521883233,0.43167433515322295,-0.08180343849866226,588350,zscore_delta,spread_only,1,0,0,naive_zlag1,
cls zscore_delta spread_only,,,,0.5465078326133438,,0.08410292935293084,572925,zscore_delta,spread_only,5,0,60,lgbm_cls,0.45631278090500504
zscore_delta with_LSR_liqs,0.9219301785322569,1.2980838648216413,0.008935615400569752,0.5307792980368828,0.6523390643742503,0.08193381215725867,588350,zscore_delta,with_LSR_liqs,13,8,54,lgbm_reg,
naive zscore_delta with_LSR_liqs,1.3082281468874501,1.7301498714351602,-0.7606126408212288,0.4443477521883233,0.43167433515322295,-0.08180343849866226,588350,zscore_delta,with_LSR_liqs,1,0,0,naive_zlag1,
cls zscore_delta with_LSR_liqs,,,,0.5464537243094646,,0.08425220283556636,572925,zscore_delta,with_LSR_liqs,13,8,41,lgbm_cls,0.45631278090500504
