tau,n,fire_rate,diracc,r2,mean_pnl_proxy,sharpe_per_trade,sharpe_closed_hourly_A,mean_gross_bps,win_rate_bps,sharpe_bps,mean_return_frac,net_mean_5bps,total_pnl_proxy
0.1,1180549,0.7028181809522449,0.6647898562448488,0.1761004175811726,0.3605428659960883,0.3561671854986941,6.151527798438808,-0.4480936926089962,0.3664828821167101,-0.077361771157492,-4.4809369260899626e-05,-5.448093692608996,425638.5199088161
0.25,658383,0.3919562359799397,0.7159662384964375,0.2601251833920885,0.5151683591326034,0.5041374046097278,5.20908218248622,-0.6261320546880179,0.3667135998347466,-0.0974707703318949,-6.26132054688018e-05,-5.626132054688018,339178.0897908008
0.35,454279,0.2704466654283768,0.7464663785911301,0.3137029896314393,0.6143748577759978,0.5946246432489806,4.66131508115399,-0.7144817620004124,0.3662595013196736,-0.1055761785871868,-7.144817620004124e-05,-5.714481762000412,279097.5960156225
0.5,263424,0.1568246438726085,0.7867885993683188,0.389004710510726,0.7653290246213783,0.7276346797437261,3.900121104141352,-0.8379455944791627,0.3650350765306122,-0.1143529920106626,-8.379455944791627e-05,-5.837945594479162,201606.03298186196
0.6,184213,0.1096678287540423,0.8093077035822662,0.4325571179059924,0.8651554667191717,0.8103492980245656,3.4615129450537268,-0.9140515074108068,0.364702816847888,-0.1181742602529523,-9.140515074108068e-05,-5.914051507410807,159372.88399073877
0.7,127922,0.0761560149928322,0.8284736011006707,0.4725697075164801,0.9668390829521748,0.8908367081697874,3.0398242533354427,-1.0046777726919265,0.3652303747596191,-0.1223992457280206,-0.0001004677772691,-6.004677772691927,123679.9891694081
0.75,106094,0.0631611157943867,0.8362301355401813,0.490030667914178,1.0179666934161349,0.926980472440073,2.816615989726083,-1.0338730759801973,0.366363790600788,-0.1224906239027983,-0.000103387307598,-6.033873075980197,108000.15837129141
0.8,88411,0.052633866274224,0.8432774202305143,0.5062904329421436,1.0678584404761964,0.9619023786420606,2.607312835921853,-1.0884811851350198,0.3662327085996086,-0.125196745121795,-0.0001088481185135,-6.08848118513502,94410.432580941
0.9,61456,0.036586701719794,0.8531306951314762,0.53512216837145,1.1645443552370267,1.023051215555233,2.236616378182928,-1.2378989882198368,0.3633656599843791,-0.1334111207092866,-0.0001237898988219,-6.237898988219837,71568.23789544671
1.0,42519,0.0253129063138493,0.8635198381899857,0.5632959625843545,1.2708962808989177,1.0883238646021542,1.9436615781867144,-1.3595338641406338,0.3624262094593005,-0.1379491142802867,-0.000135953386414,-6.359533864140634,54037.23896754108
1.1,29320,0.0174551239004224,0.8708390177353342,0.5849568087273265,1.3789888031292157,1.144362811957704,1.675903919136595,-1.512996939297303,0.3615620736698499,-0.1464878771559813,-0.0001512996939297,-6.512996939297303,40431.9517077486
1.25,16827,0.0100176456300275,0.8764485648065609,0.6086488329465273,1.5548371134832788,1.2331540859780077,1.3518671727091192,-1.832179838040653,0.3609674927200332,-0.160160680199397,-0.000183217983804,-6.832179838040654,26163.24410858313
1.5,7113,0.0042345940076297,0.8755799240826655,0.6098828041721229,1.845704730504261,1.326412262993353,0.96122372258672,-2.67081541362634,0.354702657106706,-0.1917931080061614,-0.0002670815413626,-7.67081541362634,13128.497748076808
1.75,3130,0.0018633880562183,0.8792332268370607,0.6246159204742017,2.116780355466181,1.429062107910952,0.7707702168104242,-3.43354310882739,0.3661341853035144,-0.2057297465104555,-0.0003433543108827,-8.43354310882739,6625.522512609146
2.0,1401,0.0008340596379431,0.8822269807280514,0.6389731471709157,2.399331437191836,1.5410506701502624,0.6348571728594962,-4.870742278342414,0.3683083511777302,-0.2436237506446261,-0.0004870742278342,-9.870742278342414,3361.4633435057626
