feature,null_pct,corr_target
spread_bps_lag1,0.0,0.021
zscore_lag1,0.038,0.2405
spread_bps_lag2,0.001,0.0151
zscore_lag2,0.038,0.2136
spread_bps_lag3,0.001,0.0112
zscore_lag3,0.038,0.196
tk_mid_lag1_binance,0.002,0.0066
tk_mid_lag1_bybit,0.002,0.0066
tk_mid_lag1_coinbase,0.002,0.0064
tk_mid_lag1_kraken,0.002,0.0066
tk_mid_lag1_mexc,0.002,0.0066
tk_mid_lag1_okx,0.0,0.0064
tk_mid_lag2_binance,0.002,0.0066
tk_mid_lag2_bybit,0.002,0.0066
tk_mid_lag2_coinbase,0.003,0.0064
tk_mid_lag2_kraken,0.002,0.0066
tk_mid_lag2_mexc,0.002,0.0066
tk_mid_lag2_okx,0.001,0.0064
tk_mid_lag3_binance,0.003,0.0066
tk_mid_lag3_bybit,0.003,0.0066
tk_mid_lag3_coinbase,0.003,0.0064
tk_mid_lag3_kraken,0.003,0.0066
tk_mid_lag3_mexc,0.003,0.0066
tk_mid_lag3_okx,0.001,0.0064
tk_spread_bps_lag1_binance,0.002,-0.0071
tk_spread_bps_lag1_bybit,0.002,-0.0062
tk_spread_bps_lag1_coinbase,0.002,-0.0048
tk_spread_bps_lag1_kraken,0.002,-0.0077
tk_spread_bps_lag1_mexc,0.002,-0.0039
tk_spread_bps_lag1_okx,0.0,-0.0056
tk_spread_bps_lag2_binance,0.002,-0.007
tk_spread_bps_lag2_bybit,0.002,-0.0066
tk_spread_bps_lag2_coinbase,0.003,-0.0049
tk_spread_bps_lag2_kraken,0.002,-0.008
tk_spread_bps_lag2_mexc,0.002,-0.0036
tk_spread_bps_lag2_okx,0.001,-0.0059
tk_spread_bps_lag3_binance,0.003,-0.007
tk_spread_bps_lag3_bybit,0.003,-0.0064
tk_spread_bps_lag3_coinbase,0.003,-0.005
tk_spread_bps_lag3_kraken,0.003,-0.0082
tk_spread_bps_lag3_mexc,0.003,-0.0036
tk_spread_bps_lag3_okx,0.001,-0.0056
tk_bid_volume_lag1_binance,0.002,-0.0025
tk_bid_volume_lag1_bybit,0.002,-0.0012
tk_bid_volume_lag1_coinbase,0.002,0.0
tk_bid_volume_lag1_kraken,0.002,0.0001
tk_bid_volume_lag1_mexc,0.002,0.0029
tk_bid_volume_lag1_okx,0.0,-0.0002
tk_bid_volume_lag2_binance,0.002,-0.0019
tk_bid_volume_lag2_bybit,0.002,-0.0011
tk_bid_volume_lag2_coinbase,0.003,0.0
tk_bid_volume_lag2_kraken,0.002,0.0009
tk_bid_volume_lag2_mexc,0.002,0.003
tk_bid_volume_lag2_okx,0.001,-0.0003
tk_bid_volume_lag3_binance,0.003,-0.0013
tk_bid_volume_lag3_bybit,0.003,-0.0013
tk_bid_volume_lag3_coinbase,0.003,0.0
tk_bid_volume_lag3_kraken,0.003,0.001
tk_bid_volume_lag3_mexc,0.003,0.0015
tk_bid_volume_lag3_okx,0.001,-0.0006
tk_ask_volume_lag1_binance,0.002,-0.001
tk_ask_volume_lag1_bybit,0.002,-0.0016
tk_ask_volume_lag1_coinbase,0.002,0.0
tk_ask_volume_lag1_kraken,0.002,0.0005
tk_ask_volume_lag1_mexc,0.002,0.0037
tk_ask_volume_lag1_okx,0.0,-0.0022
tk_ask_volume_lag2_binance,0.002,-0.001
tk_ask_volume_lag2_bybit,0.002,-0.0008
tk_ask_volume_lag2_coinbase,0.003,0.0
tk_ask_volume_lag2_kraken,0.002,0.0007
tk_ask_volume_lag2_mexc,0.002,0.002
tk_ask_volume_lag2_okx,0.001,-0.0034
tk_ask_volume_lag3_binance,0.003,-0.0007
tk_ask_volume_lag3_bybit,0.003,-0.0014
tk_ask_volume_lag3_coinbase,0.003,0.0
tk_ask_volume_lag3_kraken,0.003,0.0012
tk_ask_volume_lag3_mexc,0.003,0.0004
tk_ask_volume_lag3_okx,0.001,-0.0014
ob_imbalance_lag1_binance,0.002,0.0024
ob_imbalance_lag1_bybit,0.002,-0.0005
ob_imbalance_lag1_coinbase,0.002,-0.0138
ob_imbalance_lag1_mexc,0.002,0.0024
ob_imbalance_lag2_binance,0.002,0.0031
ob_imbalance_lag2_bybit,0.003,0.0001
ob_imbalance_lag2_coinbase,0.003,-0.0141
ob_imbalance_lag2_mexc,0.003,0.0031
ob_imbalance_lag3_binance,0.003,0.0036
ob_imbalance_lag3_bybit,0.003,0.0009
ob_imbalance_lag3_coinbase,0.003,-0.014
ob_imbalance_lag3_mexc,0.003,0.0031
tr_buy_sell_ratio_lag1_binance,0.002,0.0009
tr_buy_sell_ratio_lag1_bybit,0.002,-0.0014
tr_buy_sell_ratio_lag1_coinbase,0.003,-0.0
tr_buy_sell_ratio_lag1_kraken,0.002,0.0005
tr_buy_sell_ratio_lag1_mexc,0.002,0.004
tr_buy_sell_ratio_lag1_okx,0.001,0.0015
tr_buy_sell_ratio_lag2_binance,0.003,-0.0003
tr_buy_sell_ratio_lag2_bybit,0.003,-0.0008
tr_buy_sell_ratio_lag2_coinbase,0.003,-0.0007
tr_buy_sell_ratio_lag2_kraken,0.003,-0.0003
tr_buy_sell_ratio_lag2_mexc,0.003,0.0024
tr_buy_sell_ratio_lag2_okx,0.001,0.0011
tr_buy_sell_ratio_lag3_binance,0.003,0.0004
tr_buy_sell_ratio_lag3_bybit,0.003,-0.0012
tr_buy_sell_ratio_lag3_coinbase,0.003,0.0004
tr_buy_sell_ratio_lag3_kraken,0.003,-0.0014
tr_buy_sell_ratio_lag3_mexc,0.003,0.0029
tr_buy_sell_ratio_lag3_okx,0.002,0.0006
tr_total_volume_lag1_binance,0.002,0.0006
tr_total_volume_lag1_bybit,0.002,-0.006
tr_total_volume_lag1_coinbase,0.003,-0.0045
tr_total_volume_lag1_kraken,0.002,-0.0007
tr_total_volume_lag1_mexc,0.002,0.0024
tr_total_volume_lag1_okx,0.001,-0.0031
tr_total_volume_lag2_binance,0.003,0.0001
tr_total_volume_lag2_bybit,0.003,-0.0062
tr_total_volume_lag2_coinbase,0.003,-0.0046
tr_total_volume_lag2_kraken,0.003,-0.0008
tr_total_volume_lag2_mexc,0.003,0.0017
tr_total_volume_lag2_okx,0.001,-0.0027
tr_total_volume_lag3_binance,0.003,-0.0001
tr_total_volume_lag3_bybit,0.003,-0.0062
tr_total_volume_lag3_coinbase,0.003,-0.0047
tr_total_volume_lag3_kraken,0.003,-0.0011
tr_total_volume_lag3_mexc,0.003,0.0014
tr_total_volume_lag3_okx,0.002,-0.0024
