design,variant,features_added,n_features,r2,dir_acc,r2_filtered,dir_acc_filtered,mae_filtered,n_filtered,pct_filtered,delta_r2_filtered_vs_baseline,best_iter,wall_s,note
nested,AR baseline,z-score/spread lags + momentum,11,0.1315117326853975,0.6273605621431708,0.5339529769506093,0.8552545263710313,0.8150098502244794,60976,0.036286036993000585,0.0,49,4.8,
nested,+ticker,"+ ticker (mid, BA, volumes)",42,0.13253917198197562,0.6297647144236045,0.5219088082773399,0.8509226311127126,0.8181083895513891,66603,0.03963459265686201,-0.012044168673269406,49,7.9,
nested,+orderbook,+ orderbook imbalance,45,0.13153076071290581,0.6260597015280649,0.5194039088511132,0.8521805273833671,0.8223062897374227,63104,0.03755238255061514,-0.014549068099496076,49,9.2,
nested,+trades,+ trade flow,48,0.13219060192472676,0.6282496224171727,0.522186677972359,0.8507113712425692,0.8171383490632609,65437,0.03894072098384576,-0.011766298978250322,49,8.2,
nested,+funding (pruned),+ funding rate [0 cols surviving prune],48,0.13219060192472676,0.6282496224171727,0.522186677972359,0.8507113712425692,0.8171383490632609,65437,0.03894072098384576,-0.011766298978250322,49,0.0,identical feature set — reused
nested,+oi (pruned),+ open interest [0 cols surviving prune],48,0.13219060192472676,0.6282496224171727,0.522186677972359,0.8507113712425692,0.8171383490632609,65437,0.03894072098384576,-0.011766298978250322,49,0.0,identical feature set — reused
nested,+cross,+ cross-venue aggregates,62,0.1325264359768944,0.6287542563611846,0.524065112868225,0.8509566668653513,0.8177851297090721,67108,0.039935111691916214,-0.00988786408238429,49,10.8,
nested,full (all surviving),all feature groups,62,0.1325264359768944,0.6287542563611846,0.524065112868225,0.8509566668653513,0.8177851297090721,67108,0.039935111691916214,-0.00988786408238429,49,0.0,identical feature set — reused
logo,full,all features,62,0.13280704713287694,0.6288708934520175,0.5276959543945174,0.8531216648879403,0.8087866053848206,67464,0.04014696273444948,,49,10.7,
logo,−baseline,drop 9 baseline cols,53,0.014376579718217153,0.5191606176052977,0.01839126578962591,0.7684426229508197,1.0254357280913753,9272,0.005517648501034857,,49,7.8,
logo,−ticker,drop 31 ticker cols,31,0.13231069072569768,0.6271183616535331,0.5422770176531153,0.8586420707304925,0.8113148136173964,58221,0.03464657176216031,,49,6.9,
logo,−orderbook,drop 3 orderbook cols,59,0.13223797097198997,0.6290006224612092,0.5260538746385912,0.8532702964065881,0.8127599519672831,65147,0.038768145696388895,,49,10.1,
logo,−trades,drop 3 trades cols,59,0.13216377927667722,0.6282353403244177,0.5248407830078206,0.8528139192340739,0.8132543502776404,65176,0.03878540322513458,,49,10.0,
logo,−funding (pruned),group empty after prune,62,0.13280704713287694,0.6288708934520175,0.5276959543945174,0.8531216648879403,0.8087866053848206,67464,0.04014696273444948,,49,0.0,identical feature set — reused
logo,−oi (pruned),group empty after prune,62,0.13280704713287694,0.6288708934520175,0.5276959543945174,0.8531216648879403,0.8087866053848206,67464,0.04014696273444948,,49,0.0,identical feature set — reused
logo,−cross,drop 14 cross cols,48,0.13233940317964044,0.6277908101874168,0.5259187097777029,0.8526579111944965,0.8174092043474284,63960,0.038061777192211974,,49,9.6,
