feature,importance
zscore_lag1,1664341.6522388458
zscore_lag2,1042179.6114721298
spread_bps_lag2,312520.82090091705
coin,246363.56577396393
spread_bps_lag1,243355.09827899933
pair,186389.73062229156
tr_buy_sell_ratio_lag2_kraken,34780.58393859863
cross_mid_range,33376.78959465027
tr_buy_sell_ratio_lag2_coinbase,30237.6928024292
ob_imbalance_lag1_coinbase,27982.646648406982
ob_imbalance_lag2_coinbase,27768.91655921936
cross_mid_std,26499.22229385376
ob_imbalance_lag1_binance,25809.013469696045
tr_buy_sell_ratio_lag1_mexc,24778.070110321045
tk_spread_bps_lag2_bybit,24499.190749168396
tr_total_volume_lag1_mexc,24291.451568603516
tk_ask_volume_lag2_kraken,24189.823223114014
tr_buy_sell_ratio_lag2_mexc,24050.05567932129
tk_ask_volume_lag1_kraken,22712.39988708496
ob_imbalance_lag2_binance,22625.28775215149
tr_buy_sell_ratio_lag1_bybit,22231.47650527954
tightest_ba,21793.479648590088
tk_spread_bps_lag1_bybit,21733.282119750977
net_ob_pressure,21248.691787719727
ob_imbalance_lag1_bybit,21200.647567749023
tr_total_volume_lag2_okx,21061.635900497437
tk_spread_bps_lag1_mexc,20990.810724258423
tr_buy_sell_ratio_lag2_bybit,20816.60172843933
ob_imbalance_lag1_mexc,20682.17081451416
tk_ask_volume_lag1_mexc,19588.398975372314
tr_total_volume_lag1_binance,19463.91841697693
tr_total_volume_lag2_mexc,18880.84506225586
ob_imbalance_lag2_mexc,18879.812503814697
tk_spread_bps_lag1_kraken,18844.052907943726
tr_total_volume_lag1_bybit,18763.18552017212
tk_spread_bps_lag2_mexc,18627.660430908203
tr_total_volume_lag2_coinbase,17604.19626045227
tk_spread_bps_lag2_binance,17338.57094192505
tr_total_volume_lag2_bybit,17243.24319267273
tk_bid_volume_lag2_mexc,17096.99372291565
tr_total_volume_lag1_coinbase,16998.099590301514
cross_ob_std,16802.596323013306
tk_ask_volume_lag1_okx,16754.73136806488
tk_spread_bps_lag1_binance,16085.210241317749
price_rank_kraken,16066.143083572388
tk_spread_bps_lag2_kraken,15909.858375549316
tk_mid_lag1_coinbase,14472.00065612793
tk_bid_volume_lag1_okx,14372.688758850098
widest_ba,13133.832504272461
cross_ba_std,12582.99140548706
tk_bid_volume_lag2_okx,12418.037937164307
tk_spread_bps_lag2_okx,12263.423789978027
tk_spread_bps_lag1_okx,12009.74993133545
cross_ob_range,11947.139905929565
price_rank_binance,11519.109382629395
ba_range,11106.26054573059
price_rank_bybit,10088.329914093018
price_rank_coinbase,9882.753284454346
tk_mid_lag2_coinbase,7886.119493484497
tk_mid_lag1_kraken,7747.632356643677
tk_mid_lag1_binance,7392.225318908691
tk_mid_lag2_kraken,7307.950090408325
price_rank_okx,5615.684394836426
tk_mid_lag1_okx,5602.130819320679
tk_mid_lag1_bybit,5562.469289779663
tk_mid_lag2_mexc,4947.2772216796875
tk_mid_lag1_mexc,4904.048383712769
tk_mid_lag2_binance,4260.016412734985
net_flow_signal,3591.5887908935547
tk_mid_lag2_okx,3415.082513809204
tk_mid_lag2_bybit,3347.6098041534424
cross_flow_std,0.0
flow_divergence,0.0
