label,mae,rmse,r2,dir_acc,r2_tau0.5,dir_acc_tau0.5,pnl_proxy,n,n_tau0.5,zscore_window,min_periods,horizon,n_lags,model,best_iter,n_train,n_val
lgbm W=720,0.7314163814127195,0.9718438160550007,0.13834371505058007,0.6393153680391819,0.42058329509681824,0.8263841866763894,0.2874077530154546,1636266,153592,720,216,1,3,lgbm_reg,28,4429150,69345
naive W=720,0.840403838737201,1.2344082632026614,-0.39014067090259297,0.645453123147459,-0.5500140875960973,0.656631600445342,0.25868584676714923,1636266,1008663,720,216,1,3,naive_zlag1,0,4429150,69345
lgbm W=800,0.7321809384503836,0.9725006549931852,0.13570353920805112,0.639874667226868,0.41632537259420666,0.832701271732487,0.2886096225411781,1627986,135799,800,240,1,3,lgbm_reg,25,4387750,61065
naive W=800,0.8379612092945646,1.2322575490901186,-0.3876690576026953,0.6459306161109494,-0.5464040517378845,0.657636015703919,0.25988277960516887,1627986,1002807,800,240,1,3,naive_zlag1,0,4387750,61065
lgbm W=960,0.7314992987734814,0.9723830502383547,0.1349645633986979,0.641220260812473,0.41112683192801835,0.8379194389641924,0.2909847376553156,1611426,125197,960,288,1,3,lgbm_reg,23,4304950,44505
naive W=960,0.8347516970318155,1.2298954319949977,-0.3838707050636152,0.647010784237067,-0.5406012165279077,0.6595843249822866,0.2619665121738834,1611426,990774,960,288,1,3,naive_zlag1,0,4304950,44505
lgbm W=1120,0.7338791559279564,0.9749857232604145,0.13209254247342583,0.6421454843228208,0.39224006370213804,0.8452131999212281,0.29402500709057855,1594866,106637,1120,336,1,3,lgbm_reg,20,4222150,27945
naive W=1120,0.8327361523352023,1.2284851995628387,-0.37789703159838894,0.6483924041267417,-0.5323963809318131,0.6615397953875498,0.2651655728202749,1594866,980390,1120,336,1,3,naive_zlag1,0,4222150,27945
lgbm W=1280,0.7264035406610014,0.9688994602262976,0.14499380558624375,0.6446601609573809,0.4030721600089485,0.8335063990211317,0.2984279414643213,1578306,151195,1280,384,1,3,lgbm_reg,26,4139350,11385
naive W=1280,0.8308079417698341,1.2272114167601684,-0.37167305336163814,0.6498327954148309,-0.5227291665296734,0.6638224553400497,0.2686801277389086,1578306,971564,1280,384,1,3,naive_zlag1,0,4139350,11385
