label,mae,rmse,r2,dir_acc,r2_tau0.5,dir_acc_tau0.5,pnl_proxy,n,n_tau0.5,zscore_window,min_periods,horizon,n_lags,model,best_iter,n_train,n_val
lgbm W=360,0.740011663872969,0.9778053273878928,0.1263589990044076,0.6334702896758102,0.42254972896319265,0.8154085964446803,0.2718782939610424,1673526,150760,360,108,1,3,lgbm_reg,33,4615450,106605
naive W=360,0.8588415588960381,1.2496042217335313,-0.4268331049012051,0.639321408809902,-0.6054634190306618,0.6468683379658364,0.2438195534802838,1673526,1037596,360,108,1,3,naive_zlag1,0,4615450,106605
lgbm W=400,0.7381028907709948,0.9764893441927789,0.12959148920564645,0.6346165596213218,0.4235703094937767,0.8164865707144265,0.2750265331363965,1669386,157231,400,120,1,3,lgbm_reg,33,4594750,102465
naive W=400,0.8557133096537702,1.246883473247663,-0.4191877350217541,0.6406972383858497,-0.5932224484915132,0.6491187704646237,0.24711432093705324,1669386,1034407,400,120,1,3,naive_zlag1,0,4594750,102465
lgbm W=480,0.7362198916256064,0.9751557064880308,0.13326770018113976,0.6364813563974846,0.4250961229713639,0.8204437059211528,0.279725703176544,1661106,157672,480,144,1,3,lgbm_reg,31,4553350,94185
naive W=480,0.8506547202192062,1.2426154781741203,-0.4073773786869217,0.6425273281777322,-0.5750298938092235,0.6520703852153292,0.2518854669556364,1661106,1027659,480,144,1,3,naive_zlag1,0,4553350,94185
lgbm W=560,0.7348861863607494,0.9742988916044152,0.13465535120573835,0.637809424585528,0.42706262080212887,0.8249316399103169,0.28347560608204975,1652826,150307,560,168,1,3,lgbm_reg,29,4511950,85905
naive W=560,0.8465972655152676,1.2394116114540557,-0.400347487383649,0.6436860262362766,-0.5645092165901058,0.6538415959304518,0.25468612729872875,1652826,1021047,560,168,1,3,naive_zlag1,0,4511950,85905
lgbm W=640,0.7327352805656157,0.972711315104269,0.13735964064135464,0.6384084118048385,0.4232079447442404,0.8254739535544902,0.28593517708707716,1644546,154762,640,192,1,3,lgbm_reg,29,4470550,77625
naive W=640,0.8431491340326377,1.236729080292335,-0.39447580412325944,0.6447846396513081,-0.5564194764625574,0.655509594891137,0.2571299242956683,1644546,1014394,640,192,1,3,naive_zlag1,0,4470550,77625
