label,mae,rmse,r2,dir_acc,r2_tau0.5,dir_acc_tau0.5,pnl_proxy,n,n_tau0.5,zscore_window,min_periods,horizon,n_lags,model,best_iter,n_train,n_val
lgbm W=20,0.791644158645016,0.9973348792461796,0.0471087078150725,0.5592285089215587,0.3898082060566793,0.7872589330259604,0.1495889434699582,1697181,58127,20,6,1,3,lgbm_reg,557,4758658,141002
naive W=20,0.9837231335109377,1.330846508405122,-0.6967477501730885,0.5847608475466082,-1.0234127886110755,0.5804505035453895,0.1238337838328924,1697181,1079148,20,6,1,3,naive_zlag1,0,4758658,141002
lgbm W=60,0.7681224677264885,0.9955173171548566,0.07769751398265,0.5871646469100631,0.3771269487554396,0.7716865710391381,0.1983327748563595,1703093,123256,60,18,1,3,lgbm_reg,241,4766573,137631
naive W=60,0.9249097599873808,1.3017943773264722,-0.577104692787612,0.6104986633143346,-0.8373875348810351,0.6082819012240309,0.1762997714633874,1703093,1063862,60,18,1,3,naive_zlag1,0,4766573,137631
lgbm W=120,0.754970049458612,0.9877240895039228,0.0979608719201471,0.6065497408005239,0.3955272828511729,0.7845417523825517,0.2276709714551359,1698113,142914,120,36,1,3,lgbm_reg,57,4739172,131445
naive W=120,0.8952926069146127,1.279350121041324,-0.5133274644372423,0.6223643538445321,-0.737877429517158,0.6237562348065802,0.2040521079275358,1698113,1055967,120,36,1,3,naive_zlag1,0,4739172,131445
lgbm W=180,0.7486179705093927,0.9834813850091224,0.1112502122588771,0.6186002560074888,0.4140612278836739,0.7962348245468153,0.2472323611594496,1692138,150325,180,54,1,3,lgbm_reg,45,4708542,125235
naive W=180,0.8801945807794642,1.267268800563464,-0.4756545713078182,0.6297039603152934,-0.6794326410656952,0.6336850635454178,0.2215088915623543,1692138,1051374,180,54,1,3,naive_zlag1,0,4708542,125235
lgbm W=240,0.7444647007755697,0.9803333650770184,0.1187072268164437,0.628267453405981,0.4209214082308541,0.8060213589308749,0.2593744863222297,1685946,152723,240,72,1,3,lgbm_reg,39,4677531,119025
naive W=240,0.8703567643164632,1.2587962422361232,-0.453059896469753,0.634325180047285,-0.6459132008665469,0.6399859343750687,0.232286199716075,1685946,1046523,240,72,1,3,naive_zlag1,0,4677531,119025
lgbm W=300,0.7411396923641433,0.9782821838558696,0.1235132160468173,0.6314486324041397,0.4193070988110071,0.8085723839024913,0.2662791542650687,1679736,158509,300,90,1,3,lgbm_reg,37,4646499,112815
naive W=300,0.863938834424118,1.2539524411335576,-0.4400554454205041,0.6371965594593436,-0.6263807616103376,0.6438123050196826,0.2384717767125866,1679736,1043054,300,90,1,3,naive_zlag1,0,4646499,112815
lgbm W=320,0.739723714644208,0.9774915531033022,0.125508985238922,0.6324238555230898,0.4179510151681752,0.8084306340620494,0.2682063061696068,1677666,164353,320,96,1,3,lgbm_reg,38,4636150,110745
naive W=320,0.8621563047396718,1.25249943948204,-0.4357684492671541,0.6379470049461573,-0.6196291729264087,0.6447456357665495,0.2402024574492233,1677666,1041420,320,96,1,3,naive_zlag1,0,4636150,110745
lgbm W=360,0.740011663872969,0.9778053273878928,0.1263589990044076,0.6334702896758102,0.4225497289631926,0.8154085964446803,0.2718782939610424,1673526,150760,360,108,1,3,lgbm_reg,33,4615450,106605
naive W=360,0.8588415588960381,1.2496042217335313,-0.4268331049012051,0.639321408809902,-0.6054634190306618,0.6468683379658364,0.2438195534802838,1673526,1037596,360,108,1,3,naive_zlag1,0,4615450,106605
lgbm W=400,0.7381028907709948,0.9764893441927788,0.1295914892056464,0.6346165596213218,0.4235703094937767,0.8164865707144265,0.2750265331363965,1669386,157231,400,120,1,3,lgbm_reg,33,4594750,102465
naive W=400,0.8557133096537702,1.246883473247663,-0.4191877350217541,0.6406972383858497,-0.5932224484915132,0.6491187704646237,0.2471143209370532,1669386,1034407,400,120,1,3,naive_zlag1,0,4594750,102465
lgbm W=480,0.7362198916256064,0.9751557064880308,0.1332677001811397,0.6364813563974846,0.4250961229713639,0.8204437059211528,0.279725703176544,1661106,157672,480,144,1,3,lgbm_reg,31,4553350,94185
naive W=480,0.8506547202192062,1.2426154781741203,-0.4073773786869217,0.6425273281777322,-0.5750298938092235,0.6520703852153292,0.2518854669556364,1661106,1027659,480,144,1,3,naive_zlag1,0,4553350,94185
lgbm W=560,0.7348861863607494,0.9742988916044152,0.1346553512057383,0.637809424585528,0.4270626208021288,0.8249316399103169,0.2834756060820497,1652826,150307,560,168,1,3,lgbm_reg,29,4511950,85905
naive W=560,0.8465972655152676,1.2394116114540557,-0.400347487383649,0.6436860262362766,-0.5645092165901058,0.6538415959304518,0.2546861272987287,1652826,1021047,560,168,1,3,naive_zlag1,0,4511950,85905
lgbm W=640,0.7327352805656157,0.972711315104269,0.1373596406413546,0.6384084118048385,0.4232079447442404,0.8254739535544902,0.2859351770870771,1644546,154762,640,192,1,3,lgbm_reg,29,4470550,77625
naive W=640,0.8431491340326377,1.236729080292335,-0.3944758041232594,0.6447846396513081,-0.5564194764625574,0.655509594891137,0.2571299242956683,1644546,1014394,640,192,1,3,naive_zlag1,0,4470550,77625
lgbm W=720,0.7314163814127195,0.9718438160550008,0.13834371505058,0.6393153680391819,0.4205832950968182,0.8263841866763894,0.2874077530154546,1636266,153592,720,216,1,3,lgbm_reg,28,4429150,69345
naive W=720,0.840403838737201,1.2344082632026614,-0.3901406709025929,0.645453123147459,-0.5500140875960973,0.656631600445342,0.2586858467671492,1636266,1008663,720,216,1,3,naive_zlag1,0,4429150,69345
lgbm W=800,0.7321809384503836,0.9725006549931852,0.1357035392080511,0.639874667226868,0.4163253725942066,0.832701271732487,0.2886096225411781,1627986,135799,800,240,1,3,lgbm_reg,25,4387750,61065
naive W=800,0.8379612092945646,1.2322575490901186,-0.3876690576026953,0.6459306161109494,-0.5464040517378845,0.657636015703919,0.2598827796051688,1627986,1002807,800,240,1,3,naive_zlag1,0,4387750,61065
lgbm W=960,0.7314992987734814,0.9723830502383548,0.1349645633986979,0.641220260812473,0.4111268319280183,0.8379194389641924,0.2909847376553156,1611426,125197,960,288,1,3,lgbm_reg,23,4304950,44505
naive W=960,0.8347516970318155,1.2298954319949975,-0.3838707050636152,0.647010784237067,-0.5406012165279077,0.6595843249822866,0.2619665121738834,1611426,990774,960,288,1,3,naive_zlag1,0,4304950,44505
lgbm W=1120,0.7338791559279564,0.9749857232604144,0.1320925424734258,0.6421454843228208,0.392240063702138,0.8452131999212281,0.2940250070905785,1594866,106637,1120,336,1,3,lgbm_reg,20,4222150,27945
naive W=1120,0.8327361523352023,1.2284851995628387,-0.3778970315983889,0.6483924041267417,-0.5323963809318131,0.6615397953875498,0.2651655728202749,1594866,980390,1120,336,1,3,naive_zlag1,0,4222150,27945
lgbm W=1280,0.7264035406610014,0.9688994602262976,0.1449938055862437,0.6446601609573809,0.4030721600089485,0.8335063990211317,0.2984279414643213,1578306,151195,1280,384,1,3,lgbm_reg,26,4139350,11385
naive W=1280,0.8308079417698341,1.2272114167601684,-0.3716730533616381,0.6498327954148309,-0.5227291665296734,0.6638224553400497,0.2686801277389086,1578306,971564,1280,384,1,3,naive_zlag1,0,4139350,11385
