label,mae,rmse,r2,dir_acc,r2_tau0.5,dir_acc_tau0.5,r2_tau0.9,dir_acc_tau0.9,pnl_proxy,n,n_tau0.5,n_tau0.9,zscore_window,min_periods,horizon,n_lags,model,best_iter,n_train,n_val
lgbm W=60,0.768206043015026,0.9955916886490521,0.07758323517207455,0.5868533045896834,0.37714386706104297,0.7716390125455281,0.5521836452121729,0.8382920735861913,0.1980768811636905,1702405,123550,26418,60,20,1,3,lgbm_reg,224,4763157,136943
naive W=60,0.9249065318064921,1.3017972971729195,-0.5770715376955489,0.6104998516804169,-0.8373532783220723,0.6082786196156906,-1.1500538403793352,0.6121377705876315,0.1762814995296145,1702405,1063414,613803,60,20,1,3,naive_zlag1,0,4763157,136943
lgbm W=120,0.7555962682967191,0.9879525276509321,0.09745050441540659,0.6061769534691654,0.4010733236123829,0.7876249702451797,0.5525238774343968,0.8461155585051225,0.2277339387148666,1703623,134432,24109,120,20,1,3,lgbm_reg,52,4766598,136961
naive W=120,0.895105970452778,1.279106401186023,-0.5129069540115239,0.6224687034631489,-0.7371998960336315,0.6238664435187519,-1.0052739841814242,0.6305096300229259,0.2041821738546496,1703623,1059387,610227,120,20,1,3,naive_zlag1,0,4766598,136961
lgbm W=180,0.7492172236756138,0.9840138320303877,0.11076013947311858,0.618856148810523,0.41623291620128544,0.7984242251649343,0.5667492937771184,0.8571428571428571,0.24715525744645883,1703858,147483,24969,180,20,1,3,lgbm_reg,44,4766967,136961
naive W=180,0.8805356566454975,1.2675700747754646,-0.4755722213362945,0.6296704302823357,-0.6791885547844656,0.6336328650690591,-0.9230671012603873,0.6417905068931173,0.22141007075923766,1703858,1058875,610464,180,20,1,3,naive_zlag1,0,4766967,136961
lgbm W=240,0.7449733218573724,0.9807525151384769,0.1182834095208608,0.6283585190471607,0.42113694147700753,0.8056466683219424,0.5636455390265984,0.8577956781039424,0.2587750589387973,1703876,153046,25822,240,20,1,3,lgbm_reg,39,4766988,136961
naive W=240,0.8709618340758994,1.2591990279345622,-0.4534460333978625,0.6341388692604392,-0.6463281994769836,0.6397430929043356,-0.8741933772809352,0.6490614838054661,0.23193381389406165,1703876,1057970,611657,240,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=300,0.7411860365429689,0.9783316891748134,0.12360364018374959,0.6310435735933836,0.41847266803710037,0.8068672114156241,0.555199519764072,0.8602349614568957,0.26552983194465696,1703876,165948,29707,300,20,1,3,lgbm_reg,39,4766988,136961
naive W=300,0.8645774454150005,1.254297786358065,-0.44055430492545566,0.6370305116099998,-0.6270064670477982,0.6435254514001412,-0.8488783401180768,0.6530572192111056,0.23813871277608054,1703876,1058429,611438,300,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=400,0.7384670504619496,0.9764764345401145,0.12916932153986105,0.6345491103812719,0.42272489383246425,0.8150292238347615,0.552951690438888,0.868096841200487,0.2740979277102386,1703876,161512,27922,400,20,1,3,lgbm_reg,34,4766988,136961
naive W=400,0.8563817387532945,1.2471108250184322,-0.4204314665497928,0.6404034096377905,-0.594980939702271,0.648618039536531,-0.8019847509505766,0.6595128559181723,0.2463506315426272,1703876,1056036,611236,400,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=560,0.7334964272182347,0.9727153971428526,0.13637646411523174,0.6377406571839734,0.4227674639246316,0.8189464106572102,0.5428259403433496,0.871827695458764,0.2818909008430132,1703876,171452,31247,560,20,1,3,lgbm_reg,33,4766988,136961
naive W=560,0.8472348598217858,1.2393387906145439,-0.4019514521645833,0.64337369620794,-0.5668348473940159,0.6531890741734625,-0.7630062709913328,0.6647324824890475,0.2536274780694765,1703876,1052735,609904,560,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=720,0.7293349346767084,0.9694980071467976,0.1408378958614166,0.639814164880543,0.4197560402290754,0.818829895910986,0.5401300291038548,0.8774631079547108,0.2864625101688941,1703876,181095,34357,720,20,1,3,lgbm_reg,33,4766988,136961
naive W=720,0.8411288442710235,1.2341282186193712,-0.39220066503745765,0.6451690146466057,-0.553096268863589,0.6558998430287736,-0.744392158577049,0.6674593117975217,0.25750006097549055,1703876,1050511,607670,720,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=960,0.7268791567578465,0.9674207619503691,0.14160720145589023,0.6417057344548547,0.4117734115086161,0.8233309133149412,0.5236162255855139,0.8782316952832051,0.2901416720601953,1703876,172175,30402,960,20,1,3,lgbm_reg,30,4766988,136961
naive W=960,0.8350029498808853,1.2287971860287783,-0.3848912603040906,0.6469801793088229,-0.5421213873585013,0.6589664435294174,-0.7326221109795961,0.6708069301369772,0.26098957634861364,1703876,1047935,605356,960,20,1,3,naive_zlag1,0,4766988,136961
