label,mae,rmse,r2,dir_acc,r2_tau0.5,dir_acc_tau0.5,pnl_proxy,n,n_tau0.5,zscore_window,min_periods,horizon,n_lags,model,best_iter,n_train,n_val
lgbm W=20,0.7916768717219225,0.9974087811333778,0.04708354031811213,0.5589817979845131,0.3895680763188465,0.7864578792264635,0.14907995739030339,1692395,57347,20,20,1,3,lgbm_reg,551,4734889,136208
naive W=20,0.9838896276709962,1.331051564241219,-0.6970639734784774,0.5847009711089906,-1.023898437485324,0.580384449183847,0.12369429118474067,1692395,1076085,20,20,1,3,naive_zlag1,0,4734889,136208
lgbm W=60,0.768206043015026,0.9955916886490521,0.07758323517207455,0.5868533045896834,0.37714386706104297,0.7716390125455281,0.1980768811636905,1702405,123550,60,20,1,3,lgbm_reg,224,4763157,136943
naive W=60,0.9249065318064921,1.3017972971729195,-0.5770715376955489,0.6104998516804169,-0.8373532783220723,0.6082786196156906,0.1762814995296145,1702405,1063414,60,20,1,3,naive_zlag1,0,4763157,136943
lgbm W=120,0.7555962682967191,0.9879525276509321,0.09745050441540659,0.6061769534691654,0.4010733236123829,0.7876249702451797,0.2277339387148666,1703623,134432,120,20,1,3,lgbm_reg,52,4766598,136961
naive W=120,0.895105970452778,1.279106401186023,-0.5129069540115239,0.6224687034631489,-0.7371998960336315,0.6238664435187519,0.2041821738546496,1703623,1059387,120,20,1,3,naive_zlag1,0,4766598,136961
lgbm W=180,0.7492172236756138,0.9840138320303877,0.11076013947311858,0.618856148810523,0.41623291620128544,0.7984242251649343,0.24715525744645883,1703858,147483,180,20,1,3,lgbm_reg,44,4766967,136961
naive W=180,0.8805356566454975,1.2675700747754646,-0.4755722213362945,0.6296704302823357,-0.6791885547844656,0.6336328650690591,0.22141007075923766,1703858,1058875,180,20,1,3,naive_zlag1,0,4766967,136961
lgbm W=240,0.7449733218573724,0.9807525151384769,0.1182834095208608,0.6283585190471607,0.42113694147700753,0.8056466683219424,0.2587750589387973,1703876,153046,240,20,1,3,lgbm_reg,39,4766988,136961
naive W=240,0.8709618340758994,1.2591990279345622,-0.4534460333978625,0.6341388692604392,-0.6463281994769836,0.6397430929043356,0.23193381389406165,1703876,1057970,240,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=300,0.7411860365429689,0.9783316891748134,0.12360364018374959,0.6310435735933836,0.41847266803710037,0.8068672114156241,0.26552983194465696,1703876,165948,300,20,1,3,lgbm_reg,39,4766988,136961
naive W=300,0.8645774454150005,1.254297786358065,-0.44055430492545566,0.6370305116099998,-0.6270064670477982,0.6435254514001412,0.23813871277608054,1703876,1058429,300,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=400,0.7384670504619496,0.9764764345401145,0.12916932153986105,0.6345491103812719,0.42272489383246425,0.8150292238347615,0.2740979277102386,1703876,161512,400,20,1,3,lgbm_reg,34,4766988,136961
naive W=400,0.8563817387532945,1.2471108250184322,-0.4204314665497928,0.6404034096377905,-0.594980939702271,0.648618039536531,0.2463506315426272,1703876,1056036,400,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=560,0.7334964272182347,0.9727153971428526,0.13637646411523174,0.6377406571839734,0.4227674639246316,0.8189464106572102,0.2818909008430132,1703876,171452,560,20,1,3,lgbm_reg,33,4766988,136961
naive W=560,0.8472348598217858,1.2393387906145439,-0.4019514521645833,0.64337369620794,-0.5668348473940159,0.6531890741734625,0.2536274780694765,1703876,1052735,560,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=720,0.7293349346767084,0.9694980071467976,0.1408378958614166,0.639814164880543,0.4197560402290754,0.818829895910986,0.2864625101688941,1703876,181095,720,20,1,3,lgbm_reg,33,4766988,136961
naive W=720,0.8411288442710235,1.2341282186193712,-0.39220066503745765,0.6451690146466057,-0.553096268863589,0.6558998430287736,0.25750006097549055,1703876,1050511,720,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=960,0.7268791567578465,0.9674207619503691,0.14160720145589023,0.6417057344548547,0.4117734115086161,0.8233309133149412,0.2901416720601953,1703876,172175,960,20,1,3,lgbm_reg,30,4766988,136961
naive W=960,0.8350029498808853,1.2287971860287783,-0.3848912603040906,0.6469801793088229,-0.5421213873585013,0.6589664435294174,0.26098957634861364,1703876,1047935,960,20,1,3,naive_zlag1,0,4766988,136961
lgbm W=1280,0.7257474564988206,0.9667981050877217,0.14578015379883014,0.6441032093884766,0.40529860974563325,0.8268285364784084,0.2965739952527152,1703876,173308,1280,20,1,3,lgbm_reg,29,4766988,136961
naive W=1280,0.8311470098647901,1.2257176569017905,-0.3730266309256749,0.649779091905749,-0.5248711117985014,0.6629749896826842,0.267303327296984,1703876,1049207,1280,20,1,3,naive_zlag1,0,4766988,136961
