datetime,binance:AAVE,binance:ADA,binance:ARB,binance:AVAX,binance:BONK,binance:BTC,binance:CRV,binance:DOGE,binance:ENA,binance:ETH,binance:FLOKI,binance:LDO,binance:OP,binance:PEPE,binance:SEI,binance:SHIB,binance:SOL,binance:SUI,binance:TIA,binance:UNI,binance:WIF,binance:WLD,binance:XRP,bitget:AAVE,bitget:ADA,bitget:ARB,bitget:AVAX,bitget:BONK,bitget:BTC,bitget:CRV,bitget:DOGE,bitget:ENA,bitget:ETH,bitget:FLOKI,bitget:LDO,bitget:OP,bitget:PEPE,bitget:SEI,bitget:SHIB,bitget:SOL,bitget:SUI,bitget:TIA,bitget:UNI,bitget:WIF,bitget:WLD,bitget:XRP,bybit:AAVE,bybit:ADA,bybit:ARB,bybit:AVAX,bybit:BONK,bybit:BTC,bybit:CRV,bybit:DOGE,bybit:ENA,bybit:ETH,bybit:FLOKI,bybit:LDO,bybit:OP,bybit:PEPE,bybit:SEI,bybit:SHIB,bybit:SOL,bybit:SUI,bybit:TIA,bybit:UNI,bybit:WIF,bybit:WLD,bybit:XRP,coinbase:AAVE,coinbase:ADA,coinbase:ARB,coinbase:AVAX,coinbase:BONK,coinbase:BTC,coinbase:CRV,coinbase:DOGE,coinbase:ENA,coinbase:ETH,coinbase:FLOKI,coinbase:LDO,coinbase:OP,coinbase:PEPE,coinbase:SEI,coinbase:SHIB,coinbase:SOL,coinbase:SUI,coinbase:TIA,coinbase:UNI,coinbase:WIF,coinbase:WLD,coinbase:XRP,cryptocom:AAVE,cryptocom:ADA,cryptocom:ARB,cryptocom:AVAX,cryptocom:BONK,cryptocom:BTC,cryptocom:CRV,cryptocom:DOGE,cryptocom:ENA,cryptocom:ETH,cryptocom:FLOKI,cryptocom:LDO,cryptocom:OP,cryptocom:PEPE,cryptocom:SEI,cryptocom:SHIB,cryptocom:SOL,cryptocom:SUI,cryptocom:TIA,cryptocom:UNI,cryptocom:WIF,cryptocom:WLD,cryptocom:XRP,htx:AAVE,htx:ADA,htx:ARB,htx:AVAX,htx:BONK,htx:BTC,htx:CRV,htx:DOGE,htx:ENA,htx:ETH,htx:FLOKI,htx:LDO,htx:OP,htx:PEPE,htx:SEI,htx:SHIB,htx:SOL,htx:SUI,htx:TIA,htx:UNI,htx:WIF,htx:WLD,htx:XRP,kucoin:AAVE,kucoin:ADA,kucoin:ARB,kucoin:AVAX,kucoin:BONK,kucoin:BTC,kucoin:CRV,kucoin:DOGE,kucoin:ENA,kucoin:ETH,kucoin:FLOKI,kucoin:LDO,kucoin:OP,kucoin:PEPE,kucoin:SEI,kucoin:SHIB,kucoin:SOL,kucoin:SUI,kucoin:TIA,kucoin:UNI,kucoin:WIF,kucoin:WLD,kucoin:XRP,mexc:AAVE,mexc:ADA,mexc:ARB,mexc:AVAX,mexc:BONK,mexc:BTC,mexc:CRV,mexc:DOGE,mexc:ENA,mexc:ETH,mexc:FLOKI,mexc:LDO,mexc:OP,mexc:PEPE,mexc:SEI,mexc:SHIB,mexc:SOL,mexc:SUI,mexc:TIA,mexc:UNI,mexc:WIF,mexc:WLD,mexc:XRP,okx:AAVE,okx:ADA,okx:ARB,okx:AVAX,okx:BONK,okx:BTC,okx:CRV,okx:DOGE,okx:ENA,okx:ETH,okx:FLOKI,okx:LDO,okx:OP,okx:PEPE,okx:SEI,okx:SHIB,okx:SOL,okx:SUI,okx:TIA,okx:UNI,okx:WIF,okx:WLD,okx:XRP
2026-06-14 01:03:00,67.26,0.1715,0.0842,6.69,4.49e-06,64507.26,0.2346,0.08763,0.0843,1680.44,2.51e-05,0.2617,0.1058,2.84e-06,0.05354,5.02e-06,68.65,0.7642,0.3437,2.545,0.1596,0.5032,1.1487,67.28,0.1715,0.0842,6.691,4.489e-06,64501.03,0.2347,0.08763,0.08423,1680.4,2.507e-05,0.262,0.1063,2.841e-06,0.05352,5.012e-06,68.65,0.7642,0.3441,2.545,0.1595,0.5026,1.1488,67.24,0.1715,0.08419,6.692,4.495e-06,64501.4,0.2345,0.08764,0.08428,1680.5,2.517e-05,0.2618,0.1059,2.841e-06,0.05357,5.015e-06,68.65,0.7645,0.3438,2.545,0.1596,0.5031,1.1488,67.23,0.1713,0.0842,6.69,4.49e-06,64480.57,0.2347,0.08758,0.0845,1679.64,2.51e-05,0.26,0.106,2.84e-06,0.05355,5.01e-06,68.63,0.764,0.3434,2.544,0.16,0.5029,1.1485,67.274,0.17147,0.0843,6.69,4.501e-06,64505.78,0.2346,0.087704,0.08576,1680.4,2.525e-05,0.2628,0.1062,2.87e-06,0.05354,5.017e-06,68.65,0.76492,0.34608,2.5484,0.1603,0.5032,1.1488,67.184,0.171481,0.0841,6.6896,4.5101e-06,64553.63,0.2343,0.087976,0.08423,1681.53,2.505e-05,0.2622,0.1059,2.843898e-06,0.0536,5.02e-06,68.671,0.7643,0.3428,2.5456,0.1594,0.504,1.14881,67.254,0.1715,0.0842,6.69,4.49e-06,64515.0,0.2351,0.08766,0.0843,1680.53,2.51e-05,0.2618,0.1058,2.842e-06,0.05353,5.012e-06,68.65,0.7641,0.3442,2.5456,0.1596,0.5026,1.14893,67.25,0.1715,0.0842,6.691,4.492e-06,64510.0,0.2346,0.08763,0.08425,1680.76,2.511e-05,0.2616,0.10584,2.845e-06,0.05358,5.013e-06,68.66,0.7648,0.3437,2.545,0.1594,0.5028,1.1488,67.26,0.1715,0.08437,6.69,4.495e-06,64506.1,0.2348,0.08763,0.08428,1680.65,2.51e-05,0.2617,0.10579,2.842e-06,0.05352,5.013e-06,68.65,0.7643,0.3437,2.545,0.1599,0.5031,1.1489
2026-06-14 01:04:00,67.3,0.1716,0.0841,6.696,4.49e-06,64533.7,0.2348,0.08765,0.0844,1681.48,2.51e-05,0.2615,0.1058,2.84e-06,0.05356,5.02e-06,68.73,0.7648,0.3441,2.546,0.1596,0.5025,1.1495,67.3,0.1715,0.0842,6.694,4.489e-06,64534.99,0.2347,0.08766,0.08423,1681.58,2.507e-05,0.2615,0.1057,2.842e-06,0.05354,5.013e-06,68.72,0.7648,0.3441,2.545,0.1595,0.5024,1.1493,67.27,0.1715,0.08416,6.697,4.495e-06,64530.8,0.2348,0.08766,0.08434,1681.62,2.517e-05,0.2616,0.1057,2.844e-06,0.05357,5.015e-06,68.72,0.765,0.3441,2.546,0.1596,0.5024,1.1493,67.24,0.1715,0.0842,6.7,4.49e-06,64506.17,0.2347,0.08762,0.0845,1680.72,2.51e-05,0.26,0.106,2.85e-06,0.05355,5.01e-06,68.7,0.7647,0.344,2.544,0.16,0.5029,1.1491,67.309,0.17153,0.0843,6.692,4.501e-06,64536.97,0.2346,0.087606,0.08576,1681.63,2.525e-05,0.2628,0.1062,2.87e-06,0.05354,5.017e-06,68.72,0.76492,0.34608,2.5484,0.1603,0.5032,1.1494,67.184,0.17154,0.084,6.6956,4.5101e-06,64539.17,0.2343,0.08796,0.08423,1681.63,2.506e-05,0.2607,0.1057,2.843898e-06,0.0536,5.02e-06,68.6527,0.7648,0.343,2.5466,0.1593,0.504,1.14881,67.272,0.1715,0.0842,6.691,4.49e-06,64539.2,0.2347,0.08768,0.0843,1681.4,2.51e-05,0.2614,0.1057,2.844e-06,0.05355,5.013e-06,68.72,0.7647,0.3442,2.5465,0.1596,0.5025,1.14942,67.34,0.1715,0.08418,6.69,4.491e-06,64534.27,0.2347,0.08765,0.08425,1681.59,2.51e-05,0.2615,0.10572,2.846e-06,0.05352,5.016e-06,68.72,0.7648,0.344,2.545,0.1593,0.5022,1.1497,67.31,0.1715,0.08437,6.696,4.492e-06,64538.5,0.2349,0.08765,0.08434,1681.71,2.51e-05,0.2616,0.10565,2.844e-06,0.05356,5.015e-06,68.73,0.7648,0.3436,2.546,0.1595,0.5025,1.1496
2026-06-14 01:05:00,67.26,0.1716,0.0842,6.696,4.49e-06,64533.58,0.2348,0.08762,0.0844,1681.62,2.509e-05,0.2615,0.1061,2.85e-06,0.05355,5.01e-06,68.73,0.765,0.3441,2.545,0.1596,0.5041,1.1497,67.28,0.1716,0.0842,6.695,4.489e-06,64532.36,0.2348,0.08763,0.08441,1681.56,2.508e-05,0.262,0.1061,2.844e-06,0.05356,5.012e-06,68.74,0.765,0.3441,2.545,0.1595,0.504,1.1497,67.24,0.1716,0.08422,6.698,4.495e-06,64533.6,0.235,0.08765,0.08442,1681.55,2.511e-05,0.2616,0.1061,2.844e-06,0.05356,5.015e-06,68.73,0.7651,0.3441,2.546,0.1596,0.504,1.1493,67.22,0.1716,0.0842,6.7,4.49e-06,64504.85,0.2347,0.08756,0.0845,1680.71,2.51e-05,0.26,0.106,2.85e-06,0.0535,5.01e-06,68.7,0.7649,0.344,2.543,0.16,0.5036,1.1493,67.264,0.17161,0.0843,6.692,4.501e-06,64533.37,0.2346,0.087606,0.08576,1681.62,2.525e-05,0.2628,0.1059,2.87e-06,0.05354,5.017e-06,68.74,0.76492,0.34608,2.5484,0.1603,0.5037,1.1498,67.184,0.171545,0.0841,6.6946,4.5101e-06,64539.17,0.2345,0.08815,0.08423,1682.37,2.505e-05,0.2607,0.1061,2.843898e-06,0.0536,5.02e-06,68.6527,0.765,0.3431,2.5466,0.1595,0.503,1.14881,67.249,0.1716,0.0842,6.691,4.49e-06,64537.3,0.2347,0.08768,0.0844,1681.43,2.51e-05,0.2614,0.1061,2.844e-06,0.05355,5.013e-06,68.74,0.7647,0.3442,2.5452,0.1596,0.5035,1.14966,67.34,0.1717,0.08428,6.697,4.492e-06,64532.49,0.2347,0.08762,0.08437,1681.64,2.51e-05,0.2614,0.10614,2.848e-06,0.05352,5.015e-06,68.73,0.765,0.344,2.545,0.1593,0.5036,1.1499,67.23,0.1716,0.08437,6.697,4.492e-06,64536.6,0.2348,0.0876,0.08438,1681.53,2.51e-05,0.2616,0.1061,2.844e-06,0.05357,5.014e-06,68.73,0.7651,0.3436,2.545,0.1595,0.504,1.1498
2026-06-14 01:06:00,67.42,0.1718,0.0843,6.703,4.49e-06,64598.46,0.2348,0.0877,0.0846,1683.53,2.508e-05,0.2616,0.1062,2.85e-06,0.05357,5.02e-06,68.81,0.7658,0.3445,2.547,0.1597,0.5049,1.1505,67.41,0.1718,0.0843,6.704,4.489e-06,64597.82,0.2348,0.0877,0.08455,1683.5,2.508e-05,0.2619,0.1061,2.845e-06,0.05356,5.014e-06,68.82,0.7659,0.3444,2.547,0.1598,0.5048,1.15,67.4,0.1718,0.08431,6.704,4.497e-06,64600.4,0.2348,0.0877,0.08458,1683.47,2.511e-05,0.2617,0.1062,2.844e-06,0.05357,5.012e-06,68.81,0.766,0.3445,2.546,0.1597,0.5049,1.1504,67.36,0.1718,0.0842,6.7,4.49e-06,64568.78,0.2347,0.08767,0.0845,1682.6,2.51e-05,0.26,0.106,2.85e-06,0.0535,5.01e-06,68.78,0.7659,0.3443,2.546,0.16,0.5047,1.1501,67.264,0.17185,0.0843,6.697,4.501e-06,64601.76,0.2346,0.087644,0.08576,1683.41,2.525e-05,0.2628,0.1059,2.87e-06,0.05354,5.017e-06,68.81,0.76492,0.34608,2.5484,0.1603,0.5037,1.1506,67.344,0.171739,0.0842,6.7007,4.5101e-06,64589.55,0.2345,0.087959,0.08423,1683.87,2.504e-05,0.2611,0.1062,2.843898e-06,0.0536,5.02e-06,68.6527,0.7657,0.3435,2.5477,0.1594,0.503,1.14881,67.391,0.1718,0.0843,6.7,4.49e-06,64602.0,0.2347,0.08771,0.0846,1683.59,2.51e-05,0.2619,0.1062,2.846e-06,0.05358,5.013e-06,68.8,0.7657,0.3443,2.548,0.1597,0.505,1.15031,67.35,0.1719,0.08433,6.695,4.5e-06,64590.0,0.2347,0.08769,0.08451,1683.26,2.508e-05,0.2617,0.10606,2.847e-06,0.05354,5.016e-06,68.82,0.766,0.3445,2.548,0.1595,0.5036,1.1505,67.4,0.1719,0.08431,6.7,4.492e-06,64606.7,0.2348,0.0877,0.08456,1683.62,2.509e-05,0.2616,0.10625,2.846e-06,0.05356,5.015e-06,68.82,0.7658,0.3444,2.547,0.1596,0.5049,1.1503
2026-06-14 09:18:00,66.09,0.1705,0.0831,6.632,4.45e-06,64367.8,0.2317,0.08692,0.0826,1671.0,2.493e-05,0.261,0.1059,2.81e-06,0.05308,5e-06,68.01,0.7566,0.3376,2.52,0.1582,0.5035,1.1424,66.11,0.1704,0.0832,6.631,4.449e-06,64368.09,0.232,0.08693,0.0826,1670.99,2.498e-05,0.261,0.106,2.808e-06,0.05305,4.992e-06,68.02,0.7566,0.3375,2.522,0.1582,0.5036,1.1424,66.1,0.1704,0.08307,6.632,4.449e-06,64372.9,0.2319,0.08694,0.08266,1670.89,2.498e-05,0.261,0.1059,2.808e-06,0.0531,4.992e-06,68.01,0.7565,0.3376,2.521,0.1581,0.5035,1.1422,66.06,0.17,0.0831,6.63,4.45e-06,64332.72,0.2316,0.08687,0.0825,1670.1,2.49e-05,0.261,0.106,2.81e-06,0.05299,4.99e-06,67.97,0.7556,0.3369,2.515,0.158,0.5032,1.1418,66.203,0.17042,0.0831,6.632,4.456e-06,64377.72,0.2346,0.086924,0.0837,1671.0,2.506e-05,0.2618,0.1068,2.809e-06,0.05304,4.996e-06,68.0,0.75719,0.3402,2.5395,0.1597,0.5061,1.1423,66.166,0.170626,0.0828,6.6323,4.4873e-06,64368.74,0.2319,0.087506,0.08268,1671.15,2.49e-05,0.2606,0.1061,2.811694e-06,0.0532,4.98e-06,67.999,0.7606,0.3367,2.5216,0.1579,0.503,1.14232,66.09,0.1704,0.0831,6.626,4.448e-06,64369.5,0.2316,0.08691,0.0826,1671.19,2.495e-05,0.2616,0.1059,2.807e-06,0.05304,4.992e-06,68.02,0.7565,0.3379,2.5205,0.1581,0.5033,1.1424,66.09,0.1705,0.08308,6.633,4.453e-06,64368.29,0.2317,0.08693,0.08265,1670.9,2.492e-05,0.261,0.106,2.809e-06,0.05306,4.99e-06,68.01,0.7566,0.3376,2.519,0.1578,0.5036,1.1423,66.03,0.1704,0.08296,6.631,4.443e-06,64369.1,0.2318,0.08694,0.08258,1670.85,2.492e-05,0.2609,0.10595,2.806e-06,0.05303,4.991e-06,68.01,0.7565,0.3374,2.521,0.1582,0.5033,1.1423
2026-06-14 09:19:00,66.01,0.1702,0.083,6.626,4.45e-06,64322.24,0.2316,0.08681,0.0825,1669.7,2.49e-05,0.2606,0.1059,2.81e-06,0.05305,4.98e-06,67.94,0.7557,0.3372,2.516,0.1579,0.5025,1.1415,66.11,0.1701,0.083,6.625,4.449e-06,64322.0,0.2318,0.08681,0.08246,1669.79,2.491e-05,0.2608,0.1058,2.805e-06,0.05302,4.984e-06,67.93,0.7558,0.3371,2.518,0.1582,0.5027,1.1415,66.01,0.1702,0.08303,6.627,4.445e-06,64330.4,0.2317,0.08683,0.08249,1669.77,2.492e-05,0.2606,0.1059,2.806e-06,0.05306,4.985e-06,67.94,0.7558,0.3373,2.516,0.158,0.5027,1.1411,65.96,0.17,0.0831,6.63,4.45e-06,64290.77,0.2316,0.08674,0.0825,1668.77,2.49e-05,0.261,0.106,2.81e-06,0.05299,4.99e-06,67.89,0.7557,0.337,2.515,0.158,0.502,1.1408,66.203,0.17014,0.0829,6.627,4.456e-06,64330.99,0.2346,0.086792,0.0837,1669.63,2.506e-05,0.2606,0.1068,2.809e-06,0.05303,4.996e-06,67.93,0.75719,0.3402,2.5395,0.1597,0.5061,1.1414,66.166,0.170113,0.0831,6.6253,4.4489e-06,64351.19,0.2307,0.087121,0.08251,1670.23,2.486e-05,0.2603,0.1058,2.80661e-06,0.0531,4.98e-06,68.0075,0.7605,0.3365,2.5175,0.1579,0.502,1.14165,66.022,0.1703,0.083,6.626,4.445e-06,64325.9,0.2316,0.0868,0.0825,1669.69,2.495e-05,0.2607,0.1059,2.805e-06,0.05303,4.985e-06,67.94,0.756,0.3372,2.5171,0.1581,0.5022,1.14135,66.01,0.1702,0.08309,6.633,4.447e-06,64330.01,0.2317,0.08682,0.08243,1669.79,2.492e-05,0.261,0.10581,2.803e-06,0.05303,4.985e-06,67.95,0.7559,0.3372,2.516,0.1576,0.5029,1.1414,66.01,0.1701,0.08299,6.625,4.444e-06,64332.8,0.2316,0.08681,0.08244,1669.74,2.491e-05,0.2604,0.10588,2.806e-06,0.05303,4.986e-06,67.93,0.7558,0.3372,2.517,0.1578,0.5026,1.1413
2026-06-14 09:20:00,66.03,0.1702,0.083,6.629,4.45e-06,64341.88,0.2322,0.08687,0.0827,1670.4,2.491e-05,0.2609,0.1058,2.81e-06,0.0531,4.98e-06,67.99,0.7564,0.3376,2.517,0.158,0.5045,1.1418,66.0,0.1703,0.083,6.627,4.449e-06,64342.49,0.2318,0.08687,0.08263,1670.48,2.486e-05,0.2608,0.1057,2.81e-06,0.05305,4.985e-06,67.99,0.7564,0.3371,2.517,0.1582,0.5042,1.1416,66.03,0.1703,0.083,6.63,4.449e-06,64348.3,0.2323,0.08688,0.08267,1670.35,2.494e-05,0.2609,0.1058,2.81e-06,0.0531,4.987e-06,68.01,0.7561,0.3377,2.517,0.1581,0.5045,1.1415,65.96,0.1702,0.0831,6.63,4.45e-06,64307.21,0.2321,0.08682,0.0827,1669.2,2.49e-05,0.261,0.106,2.81e-06,0.05299,4.99e-06,67.95,0.7559,0.3374,2.517,0.159,0.5054,1.1411,66.203,0.17025,0.0829,6.629,4.456e-06,64346.16,0.2346,0.086853,0.0837,1670.32,2.486e-05,0.2606,0.1068,2.807e-06,0.05303,4.996e-06,67.98,0.75719,0.3402,2.5395,0.1597,0.5045,1.1416,66.166,0.170292,0.083,6.6294,4.4489e-06,64345.79,0.2317,0.087121,0.08278,1670.38,2.49e-05,0.2605,0.1058,2.80661e-06,0.0531,4.98e-06,68.0075,0.7607,0.3366,2.5186,0.1578,0.504,1.14165,66.034,0.1703,0.083,6.625,4.449e-06,64343.4,0.2316,0.08685,0.0826,1670.34,2.487e-05,0.2607,0.1058,2.809e-06,0.05308,4.988e-06,67.99,0.7563,0.3372,2.5176,0.1581,0.5043,1.14175,66.02,0.1702,0.08302,6.627,4.448e-06,64345.09,0.2321,0.08688,0.08255,1670.2,2.489e-05,0.2609,0.1057,2.809e-06,0.05306,4.985e-06,68.0,0.7562,0.3374,2.516,0.1578,0.5049,1.1419,66.04,0.1701,0.08296,6.628,4.445e-06,64349.7,0.2323,0.08689,0.0826,1670.35,2.487e-05,0.2608,0.10585,2.808e-06,0.05307,4.987e-06,68.0,0.7563,0.3374,2.517,0.1581,0.5046,1.1416
2026-06-14 09:21:00,66.06,0.1704,0.0831,6.634,4.45e-06,64345.97,0.2322,0.08691,0.0828,1670.77,2.491e-05,0.2611,0.1058,2.81e-06,0.05311,4.99e-06,68.02,0.7567,0.3377,2.519,0.1583,0.5062,1.1421,66.0,0.1705,0.083,6.634,4.449e-06,64350.0,0.2324,0.08692,0.08272,1670.84,2.486e-05,0.2611,0.1057,2.812e-06,0.05305,4.991e-06,68.04,0.7568,0.3376,2.517,0.1584,0.5061,1.1422,66.06,0.1705,0.0831,6.635,4.449e-06,64351.9,0.2324,0.08692,0.08279,1670.75,2.494e-05,0.2611,0.1058,2.813e-06,0.05313,4.989e-06,68.03,0.7569,0.3377,2.519,0.1583,0.5057,1.1419,66.04,0.1703,0.0831,6.63,4.45e-06,64311.95,0.2324,0.08687,0.0828,1669.69,2.49e-05,0.261,0.106,2.81e-06,0.05309,4.99e-06,67.99,0.7568,0.3374,2.517,0.159,0.5055,1.1415,66.203,0.17041,0.0829,6.634,4.456e-06,64350.55,0.2346,0.086924,0.0837,1670.72,2.486e-05,0.2606,0.1068,2.81e-06,0.05303,4.996e-06,68.01,0.75719,0.3402,2.5395,0.1597,0.5051,1.1422,66.166,0.170281,0.083,6.6304,4.4489e-06,64357.64,0.233,0.087121,0.08278,1670.66,2.488e-05,0.2608,0.1058,2.80661e-06,0.0531,4.98e-06,68.0,0.7608,0.3367,2.5206,0.1579,0.506,1.14165,66.078,0.1705,0.083,6.634,4.449e-06,64347.8,0.2316,0.0869,0.0828,1670.67,2.487e-05,0.2607,0.1057,2.812e-06,0.0531,4.99e-06,68.02,0.7569,0.3372,2.5195,0.1583,0.5057,1.14221,66.04,0.1704,0.083,6.633,4.453e-06,64348.32,0.2322,0.08691,0.08277,1670.75,2.492e-05,0.2612,0.10581,2.812e-06,0.05311,4.991e-06,68.03,0.7568,0.3377,2.518,0.158,0.5053,1.1422,66.05,0.1704,0.08306,6.633,4.452e-06,64349.7,0.2324,0.08693,0.08278,1670.86,2.487e-05,0.261,0.1058,2.811e-06,0.05307,4.987e-06,68.02,0.7568,0.3374,2.52,0.1584,0.506,1.1421
2026-06-14 14:34:00,65.51,0.1661,0.0823,6.521,4.37e-06,64005.99,0.231,0.0861,0.0811,1658.78,2.464e-05,0.2577,0.105,2.79e-06,0.05256,4.9e-06,67.32,0.7474,0.3313,2.501,0.1557,0.4925,1.1286,65.55,0.1661,0.0823,6.516,4.365e-06,64005.0,0.2313,0.08608,0.0811,1658.74,2.464e-05,0.2579,0.1051,2.784e-06,0.05254,4.894e-06,67.31,0.7469,0.3314,2.501,0.1558,0.4924,1.1288,65.51,0.1662,0.08227,6.521,4.366e-06,64009.9,0.2311,0.0861,0.0811,1658.57,2.468e-05,0.2578,0.105,2.787e-06,0.05258,4.895e-06,67.3,0.7473,0.3314,2.5,0.1559,0.4922,1.1282,65.4,0.166,0.0823,6.52,4.36e-06,63975.94,0.231,0.08602,0.0809,1657.69,2.46e-05,0.257,0.105,2.78e-06,0.05253,4.89e-06,67.27,0.7472,0.3311,2.496,0.155,0.4919,1.128,65.844,0.16618,0.083,6.518,4.4e-06,64008.2,0.2302,0.086072,0.08296,1658.4,2.491e-05,0.259,0.1059,2.8e-06,0.05254,4.897e-06,67.27,0.74789,0.33663,2.5215,0.1579,0.4914,1.1284,66.032,0.166168,0.0822,6.5181,4.3673e-06,64020.62,0.2314,0.086391,0.08109,1659.22,2.469e-05,0.258,0.1051,2.784288e-06,0.0524,4.91e-06,67.293,0.7501,0.3277,2.5017,0.156,0.493,1.12878,65.497,0.1661,0.0823,6.518,4.367e-06,64003.3,0.2311,0.08612,0.0811,1658.7,2.467e-05,0.258,0.105,2.784e-06,0.05255,4.893e-06,67.31,0.747,0.3313,2.5013,0.1558,0.4925,1.12869,65.59,0.1661,0.08227,6.518,4.372e-06,64000.0,0.231,0.08608,0.0812,1658.59,2.464e-05,0.2579,0.10513,2.788e-06,0.05261,4.894e-06,67.31,0.7475,0.3312,2.501,0.1555,0.4927,1.1289,65.51,0.1661,0.08227,6.518,4.371e-06,64007.6,0.231,0.08606,0.08108,1658.83,2.467e-05,0.2578,0.10501,2.785e-06,0.05255,4.895e-06,67.31,0.7472,0.3311,2.501,0.1558,0.4921,1.1287
2026-06-14 14:35:00,65.39,0.1656,0.0821,6.505,4.34e-06,63937.4,0.2311,0.08578,0.0808,1656.36,2.458e-05,0.2567,0.1049,2.78e-06,0.05249,4.89e-06,67.15,0.7459,0.3303,2.494,0.1553,0.4922,1.1276,65.38,0.1656,0.0821,6.5,4.345e-06,63935.01,0.2312,0.08579,0.08077,1656.47,2.457e-05,0.2565,0.1051,2.773e-06,0.05254,4.886e-06,67.15,0.7459,0.3299,2.491,0.1552,0.4921,1.1275,65.4,0.1656,0.08214,6.505,4.35e-06,63935.1,0.2312,0.0858,0.08075,1656.34,2.467e-05,0.2567,0.1048,2.776e-06,0.0525,4.885e-06,67.15,0.7458,0.3303,2.494,0.1554,0.4921,1.1276,65.4,0.1656,0.0821,6.5,4.35e-06,63906.56,0.2315,0.08572,0.0807,1655.2,2.46e-05,0.257,0.105,2.78e-06,0.05244,4.88e-06,67.12,0.7458,0.3302,2.493,0.155,0.4922,1.1271,65.446,0.16564,0.083,6.503,4.4e-06,63936.85,0.2302,0.085765,0.08296,1656.23,2.491e-05,0.259,0.1059,2.78e-06,0.05245,4.897e-06,67.16,0.74499,0.33663,2.5215,0.1579,0.4914,1.1275,66.032,0.165684,0.0821,6.5062,4.3469e-06,63970.01,0.2314,0.086211,0.08058,1656.81,2.466e-05,0.2568,0.1049,2.781186e-06,0.0524,4.9e-06,67.168,0.7577,0.3264,2.4966,0.1554,0.492,1.12705,65.385,0.1656,0.0821,6.505,4.348e-06,63944.4,0.2314,0.08579,0.0807,1656.11,2.46e-05,0.2564,0.1048,2.773e-06,0.05248,4.885e-06,67.17,0.746,0.3301,2.4944,0.1554,0.4922,1.12748,65.48,0.1656,0.08208,6.499,4.351e-06,63938.04,0.231,0.08577,0.08068,1656.29,2.461e-05,0.2567,0.10484,2.778e-06,0.05257,4.884e-06,67.15,0.7449,0.3303,2.493,0.155,0.4923,1.128,65.39,0.1657,0.08207,6.502,4.347e-06,63939.3,0.231,0.08579,0.08072,1656.46,2.463e-05,0.2566,0.10487,2.774e-06,0.05248,4.885e-06,67.14,0.746,0.3303,2.495,0.1553,0.4921,1.1275
