asset_a,asset_b,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,pearson_q,significant_after_fdr,pearson_r_ci_low,pearson_r_ci_high,direction
BTC,ETH,4620,0.9127460042011917,0.0,0.8558963710108295,0.0,0.0,True,0.9078031884004111,0.9174352960493469,positive
ETH,XRP,4620,0.8830591418799248,0.0,0.7890475225344927,0.0,0.0,True,0.8765431525623937,0.889251517280356,positive
ETH,SOL,4620,0.8765980175714605,0.0,0.8001331146998732,0.0,0.0,True,0.8697469146264629,0.8831112915161432,positive
BTC,SOL,4620,0.8738149909517523,0.0,0.7559042646720737,0.0,0.0,True,0.8668203436645633,0.8804657991423858,positive
DOGE,XRP,4620,0.8713103562956345,0.0,0.7886295766968777,0.0,0.0,True,0.8641869356606661,0.878084586760359,positive
BTC,XRP,4620,0.8655405141287658,0.0,0.753002142146655,0.0,0.0,True,0.8581219272657409,0.8725977912883689,positive
ETH,LDO,4620,0.8586450780757832,0.0,0.7169307863388089,0.0,0.0,True,0.8508764577292048,0.8660382823322741,positive
DOGE,ETH,4620,0.8576576273370818,0.0,0.804618281237571,0.0,0.0,True,0.8498391228029976,0.8650987291614799,positive
BTC,DOGE,4620,0.8550105721694405,0.0,0.769821262646936,0.0,0.0,True,0.8470586421119389,0.862579815186128,positive
SOL,XRP,4620,0.8543255122667854,0.0,0.7659658894523071,0.0,0.0,True,0.8463391224719815,0.8619278571888997,positive
DOGE,LDO,4620,0.8418898132662382,0.0,0.723733801003234,0.0,0.0,True,0.8332829504165273,0.8500886760320012,positive
DOGE,SOL,4620,0.839972419417387,0.0,0.7649311259057864,0.0,0.0,True,0.8312707430340782,0.8482625184061963,positive
BTC,LDO,4620,0.8218108147104418,0.0,0.6852158886215804,0.0,0.0,True,0.8122223657766761,0.8309553219866815,positive
ADA,SOL,4620,0.8214002414777009,0.0,0.7240503607739464,0.0,0.0,True,0.811791981797377,0.830563859377328,positive
ETH,UNI,4620,0.8169303248802582,0.0,0.6712725754682726,0.0,0.0,True,0.807107060672519,0.82630141440689,positive
LDO,XRP,4620,0.8111899391868752,0.0,0.6870988769552409,0.0,0.0,True,0.8010923743370524,0.8208258944210682,positive
ADA,BTC,4620,0.8056441583078903,0.0,0.716418812910242,0.0,0.0,True,0.7952835280252372,0.8155343174912366,positive
LDO,SOL,4620,0.8020610620983883,0.0,0.6855658564658786,0.0,0.0,True,0.7915314781741891,0.8121145812875128,positive
BTC,SUI,4620,0.7978712584667209,0.0,0.7173072801037149,0.0,0.0,True,0.7871451194110062,0.8081149224267757,positive
SOL,SUI,4620,0.7905743765439155,0.0,0.7247461928402756,0.0,0.0,True,0.7795085102675183,0.8011469371053357,positive
DOGE,SUI,4620,0.7853365491833103,0.0,0.763674196790341,0.0,0.0,True,0.7740288481957961,0.7961434294834906,positive
ADA,ETH,4620,0.7848710098145518,0.0,0.7479829482750009,0.0,0.0,True,0.7735418964550843,0.7956986449881773,positive
SUI,XRP,4620,0.774590306253548,0.0,0.7278934031098397,0.0,0.0,True,0.7627917429244173,0.7858733027839455,positive
ADA,XRP,4620,0.7716429020627382,0.0,0.7466168405917663,0.0,0.0,True,0.7597109531871374,0.7830553963181013,positive
ADA,DOGE,4620,0.7665836667760737,0.0,0.7739139503527183,0.0,0.0,True,0.7544240094576209,0.7782173519471036,positive
BTC,CRV,4620,0.7599893902069211,0.0,0.6517089075358199,0.0,0.0,True,0.7475353022227365,0.7719093049677087,positive
ETH,SUI,4620,0.7557163806751778,0.0,0.7495470807879202,0.0,0.0,True,0.7430729352872874,0.7678205150392131,positive
UNI,XRP,4620,0.748473517228348,0.0,0.6536385368288181,0.0,0.0,True,0.7355116732821222,0.7608876557610227,positive
CRV,SUI,4620,0.7429415826253176,0.0,0.633286575248991,0.0,0.0,True,0.7297387271353541,0.7555905855588341,positive
ADA,SUI,4620,0.7421570862327327,0.0,0.720848092549657,0.0,0.0,True,0.7289202047198499,0.7548392618688684,positive
ADA,ARB,4620,0.7389452731306612,0.0,0.7149054394806817,0.0,0.0,True,0.72556947999338,0.7517629143148716,positive
CRV,ETH,4620,0.7317630766787091,0.0,0.6688782791237015,0.0,0.0,True,0.7180789462033221,0.7448816240748166,positive
CRV,SOL,4620,0.7298794243940605,0.0,0.6340747126173885,0.0,0.0,True,0.7161149518729032,0.7430764274379176,positive
ARB,DOGE,4620,0.724369351424919,0.0,0.7558549134784015,0.0,0.0,True,0.7103711128370325,0.7377947506403935,positive
LDO,SUI,4620,0.7192734119791941,0.0,0.6865739248837718,0.0,0.0,True,0.7050606361278319,0.7329085776563308,positive
ARB,AVAX,4620,0.7150084423239159,0.0,0.6603822538735725,0.0,0.0,True,0.7006173377543072,0.7288180872867974,positive
ADA,AVAX,4620,0.7129033839235834,0.0,0.6749315995046311,0.0,0.0,True,0.6984246730652423,0.7267987831264962,positive
AVAX,DOGE,4620,0.6998283841679787,0.0,0.6840014935853969,0.0,0.0,True,0.6848116150910923,0.714251040845286,positive
CRV,LDO,4620,0.6983045625313753,0.0,0.6458678724452431,0.0,0.0,True,0.6832257672619713,0.7127880647781805,positive
ADA,LDO,4620,0.6968934734501898,0.0,0.6954718590919134,0.0,0.0,True,0.6817573675309316,0.7114332075039382,positive
CRV,DOGE,4620,0.6956920761108953,0.0,0.67626181312382,0.0,0.0,True,0.680507272175347,0.7102796005770222,positive
BTC,UNI,4620,0.6951255833349428,0.0,0.6390621578155733,0.0,0.0,True,0.6799178475747016,0.709735615143988,positive
CRV,XRP,4620,0.6946285390184467,0.0,0.6329980879877453,0.0,0.0,True,0.6794006989164769,0.7092583045606423,positive
ARB,XRP,4620,0.6914191198968067,0.0,0.713470364414841,0.0,0.0,True,0.6760618300668756,0.7061759833387968,positive
ARB,SUI,4620,0.6881313033674537,0.0,0.714768960381861,0.0,0.0,True,0.6726420555285461,0.7030177892677157,positive
ARB,SOL,4620,0.687029117047145,0.0,0.7054947115728035,0.0,0.0,True,0.6714957805233933,0.7019589253156011,positive
AVAX,SUI,4620,0.678882791471604,0.0,0.6633781183654306,0.0,0.0,True,0.6630258974508474,0.6941307508412623,positive
OP,SUI,4620,0.6773430228820474,0.0,0.5581246942448689,0.0,0.0,True,0.66142542807691,0.6926507118570857,positive
ARB,BTC,4620,0.677015120800309,0.0,0.698457126851844,0.0,0.0,True,0.6610846181553073,0.6923355128691832,positive
LDO,UNI,4620,0.6768765369998929,0.0,0.6476817305819434,0.0,0.0,True,0.6609405809905851,0.6922022961181586,positive
AVAX,SOL,4620,0.6744891756058264,0.0,0.6445741792343127,0.0,0.0,True,0.6584594596690794,0.6899072280699927,positive
AVAX,XRP,4620,0.6716246510618548,0.0,0.6510848266593446,0.0,0.0,True,0.6554828951211522,0.6871530344596533,positive
DOGE,UNI,4620,0.6550535856440727,0.0,0.6836155061508635,0.0,0.0,True,0.6382735229624404,0.6712114612733489,positive
AVAX,BTC,4620,0.6508795481670964,0.0,0.6193178674013425,0.0,0.0,True,0.6339413470497276,0.667193626868381,positive
CRV,OP,4620,0.6508332727233909,0.0,0.5396594849482229,0.0,0.0,True,0.6338933243620269,0.6671490778480568,positive
SOL,UNI,4620,0.6506979622852996,0.0,0.645643964734833,0.0,0.0,True,0.6337529056925477,0.6670188148412204,positive
OP,XRP,4620,0.645178070224906,0.0,0.540970455924643,0.0,0.0,True,0.6280255788712159,0.6617039783440016,positive
ARB,ETH,4620,0.6451142208907554,0.0,0.740548252185705,0.0,0.0,True,0.6279593409806883,0.6616424911969867,positive
BTC,OP,4620,0.6372929530470866,0.0,0.5431918689884027,0.0,0.0,True,0.6198473647745882,0.6541088993673855,positive
ETH,OP,4620,0.6345195335790458,0.0,0.567572826317664,0.0,0.0,True,0.6169717554016703,0.6514366882397847,positive
ARB,LDO,4620,0.6322645515585029,0.0,0.710819048649796,0.0,0.0,True,0.6146340312380003,0.6492636862000829,positive
LDO,WLD,4620,0.6277552215190193,0.0,0.5619399378683095,0.0,0.0,True,0.6099601688585157,0.6449174605257736,positive
DOGE,OP,4620,0.6271771379792946,0.0,0.5779896651680936,0.0,0.0,True,0.6093610822526622,0.6443602062228421,positive
ADA,CRV,4620,0.6264560374095385,0.0,0.642099791507677,0.0,0.0,True,0.6086138110008399,0.6436650624328167,positive
AVAX,ETH,4620,0.6244682210384122,0.0,0.6485639762110414,0.0,0.0,True,0.6065540152870864,0.6417486525759943,positive
AVAX,LDO,4620,0.6114710796872769,0.0,0.6261562447928914,0.0,0.0,True,0.5930921682391221,0.6292130749375848,positive
LDO,OP,4620,0.6110765990625604,0.0,0.5772515725779525,0.0,0.0,True,0.5926837437893548,0.6288324590056776,positive
DOGE,WLD,4620,0.6073277613054806,0.0,0.6035552411547233,0.0,0.0,True,0.5888028667497963,0.6252149557997774,positive
ADA,UNI,4620,0.6021869972423242,0.0,0.6475012488985153,0.0,0.0,True,0.5834824261721914,0.6202530402543334,positive
OP,SOL,4620,0.5936563055347719,0.0,0.544560590227074,0.0,0.0,True,0.5746571168131918,0.612015942015385,positive
LDO,WIF,4620,0.5790545013603061,0.0,0.5049285634389782,1.7317150502401532e-297,0.0,True,0.5595612697656234,0.5979074248551852,positive
DOGE,WIF,4620,0.5753223540053745,0.0,0.5317332838462352,0.0,0.0,True,0.555704921885251,0.5942994837790464,positive
ETH,WLD,4620,0.5744727999431448,0.0,0.5753728783009362,0.0,0.0,True,0.554827213812695,0.5934780962295944,positive
ARB,OP,4620,0.5738326383893089,0.0,0.6215051132895815,0.0,0.0,True,0.5541658663541046,0.5928591327354389,positive
OP,UNI,4620,0.561472679252381,0.0,0.534755936608445,0.0,0.0,True,0.5414017246965884,0.5809040477413582,positive
ENA,SUI,4620,0.5595151774008009,0.0,0.6172803092656776,0.0,0.0,True,0.5393810589671304,0.5790098983053684,positive
WLD,XRP,4620,0.5586576755027277,0.0,0.560127764993369,0.0,0.0,True,0.53849596057574,0.5781800822346235,positive
SUI,UNI,4620,0.5501023149532351,0.0,0.6537038586613149,0.0,0.0,True,0.5296677033647703,0.5698987330804011,positive
