token,cex_median_bps,cex_mean_bps,cex_std_bps,dex_median_bps,dex_mean_bps,dex_std_bps,dex_raw_median_bps,ratio_dex_cex,cex_n,dex_n
BTC,7.325082056329757,7.522754071303778,1.7131077316302477,303.78,290.0285110487548,110.89062114360368,303.78,41.47120778496909,1866,5702
AAVE,9.176586950608856,10.897751432268718,9.567761409807737,205.41,1550.9161553295933,1977.5115782614673,205.41,22.384139234508236,1866,5704
UNI,10.034115994379533,10.918229590854606,3.6747896827243056,204.78,213.94931626928474,99.18120197604759,204.78,20.40837480000277,1866,5704
CRV,21.21567649223777,26.178122699568455,17.134182511395373,251.31,257.3352796773628,85.22681320190817,251.31,11.845486053294007,1866,5703
SOL,7.651823892886878,11.091771315694404,8.417374769565225,86.735,215.83118727915195,774.0536472090932,87.17,11.335205986722814,1866,5660
ETH,8.433095925418632,8.6562182938545,1.7445940088289424,79.66499999999999,84.6372352734923,28.566415854359565,79.66499999999999,9.446708623327476,1866,5704
BONK,21.075051913080898,23.179635034047852,15.634934719293376,162.56,276.25710526315794,213.32203405974192,51464854.93,7.71338550768181,1866,190
SHIB,15.956916484631822,16.309950291849383,7.554059652524497,76.26,534.6583362552593,1395.7990833415254,76.26,4.779118827465592,1866,5704
PEPE,16.350511846667803,21.580561330791976,13.078200407420741,76.4,87.86250920568122,58.2910609926674,76.4,4.672636594894743,1866,5703
AVAX,12.134084054941097,13.121435977135569,7.057304256622472,45.66,593.5990217391304,960.418463052893,45.66,3.762953989214116,1866,5704
ARB,23.350846468184194,29.53766477660204,20.444737989750376,87.17,95.22597650771388,54.94402221468662,87.17,3.7330552500000445,1866,5704
OP,32.972209138013575,32.876012758956094,15.1024251672721,104.33,115.32572405329591,69.15870324561511,104.33,3.1641798571427295,1866,5704
LDO,32.49546286454685,37.437847900007135,25.163535533142014,52.29,62.168851481676306,40.746559217132514,52.29,1.6091477206514684,1866,5703
SUI,28.94654289470111,39.40798024488487,38.259203016012435,35.815,38.259730014025244,13.593439545037944,35.815,1.2372807395440721,1866,5704
WIF,30.079711915166342,34.52852715344874,24.898387273133363,17.5,23.889956076134702,21.512896049430832,49616126.13,0.5817874868401386,1866,2049
