token,spread_neg_funding,spread_neutral,spread_pos_funding,kruskal_h,p_value
AAVE,200.98,,209.88,,
ARB,90.10499999999999,85.95,85.82,1.546515431213516,0.4615071576585913
AVAX,31.7,45.66,45.59,3.155841763003807,0.20640379033815381
BTC,216.5,303.88,308.0775,13.84857840786577,0.0009836020101749003
CRV,332.24,278.22,213.88,80.31777101636844,3.624245634085138e-18
ETH,73.405,80.495,80.465,8.271331843728177,0.015992012152644446
LDO,52.29,,52.29,,
OP,169.10750000000002,95.555,85.47,37.452089251612826,7.36855197366827e-09
SOL,91.67,87.505,81.07249999999999,4.500930972737725,0.10535017407659387
SUI,36.125,,36.0775,,
UNI,204.78,,204.78,,
WIF,49590018.4,,49740455.37,,
