asset_a,asset_b,dependent,independent,hedge_ratio,adf_p,adf_q,engle_granger_p,phi,phi_p_vs_unit_root_approx,is_mean_reverting,theta_per_bar,half_life_bars,half_life_hours,ou_mu,ou_sigma_eq,current_spread,current_rolling_zscore,current_ou_zscore,half_life_hours_ci_low,half_life_hours_ci_high
CRV,DOGE,CRV,DOGE,0.46122720398431294,0.0015725946588059966,0.10696834434687483,0.007894419334542865,0.9911344919038599,6.711837186479386e-06,True,0.008905040536595176,77.8376221547183,1.621617128223298,3.191690413009709e-05,0.005249626860434475,0.0002060103303365146,-0.05007433228346894,0.03316300964522439,0.183030807151899,0.23829369160148017
AAVE,CRV,CRV,AAVE,0.26273246345758444,0.001636976242729488,0.10696834434687483,0.008177850383880947,0.9925653432092147,3.886523756424509e-05,True,0.007462431601336505,92.88489564658846,1.9351019926372597,0.0001697783081820904,0.006842505319986779,0.0037671449637082244,0.9249207075432395,0.5257382328981638,0.18580262685012552,0.24005650753842525
AAVE,XRP,XRP,AAVE,0.16522110871352388,0.0030517667715824624,0.10696834434687483,0.014128877542273802,0.99413195119936,0.000179462411824316,True,0.005885333450284456,117.77534551189166,2.4536530314977427,0.0004927240730657968,0.006261695793867103,0.002789677565515021,1.8476305835347342,0.36682610718632014,0.1938455528734168,0.24477879825368462
CRV,OP,CRV,OP,0.31763296637477956,0.0031461277749080833,0.10696834434687483,0.014497792186209483,0.9925540908981373,4.099316087446958e-05,True,0.007473768260364922,92.74400227738677,1.9321667141122243,0.0002541788983433885,0.006204415015901105,0.005932823344625859,1.2657020991421306,0.915258639489597,0.18807056080883824,0.24422940864787004
ARB,AVAX,AVAX,ARB,1.1090861801558782,0.004687299859538775,0.1260297451888016,0.020491323060873742,0.9940680397054578,0.00025067112591603546,True,0.005949624260280092,116.50268155376148,2.4271391990366973,-0.00024310836586975451,0.008691874569370994,-0.006285592040622401,-0.8325753807423407,-0.6951876291502816,0.1957446300251696,0.24534011076341325
ENA,XRP,XRP,ENA,0.161487279186464,0.00636966978248205,0.1260297451888016,0.026750852010353463,0.9948814447063514,0.0005522484697011443,True,0.00513169997148746,135.0716496309568,2.8139927006449335,0.0005387067977080181,0.0062899464121232655,0.004704601037607732,1.9219701147674808,0.6623099732408457,0.19536645900827634,0.24541212680357746
AAVE,BTC,BTC,AAVE,0.20799211077198837,0.007964186026089715,0.1260297451888016,0.032273054558396116,0.9946006772506462,0.0005421365612710005,True,0.005413951774075214,128.02980327218475,2.6672875681705155,-9.631123934352129e-05,0.005521029592310733,-0.010085449409480418,-0.2562998321228206,-1.8092890108846733,0.1952744834324142,0.24419506394897972
OP,XRP,XRP,OP,0.16732960517970732,0.008640690966387869,0.1260297451888016,0.034611280647447264,0.9950599866900927,0.000603893758011953,True,0.004952255510054208,139.96595675499748,2.9159574323957806,0.0005110923519613002,0.006613548476914678,0.002007682491706582,2.026591637860742,0.2262915505903215,0.19787138374793387,0.24412186233282684
ARB,SOL,ARB,SOL,0.6944340529889531,0.009555036798743217,0.1260297451888016,0.0376863460923874,0.9941553863598123,0.00022299677164827614,True,0.00586176023728791,118.24898196120132,2.4635204575250276,0.0002852769941550489,0.00681001992546001,0.00029668425092577166,2.069633876813522,0.0016750695145656565,0.19692250840539305,0.24670352514851976
ADA,SUI,ADA,SUI,0.7585576388780602,0.010146950605210987,0.1260297451888016,0.039746757941593464,0.9943015500516698,0.00012386056499225084,True,0.0057147480597101365,121.29094289330807,2.526894643610585,-0.0006145862444752812,0.005315436479242454,-0.0018908110084487895,1.7845198105128797,-0.24009782996323067,0.19632514635675125,0.24512626344038724
BTC,CRV,CRV,BTC,1.0389150501625848,0.01064720070301068,0.1260297451888016,0.04127241257289142,0.993672505014169,0.0001765485179590076,True,0.006347598430057895,109.19833511799884,2.274965314958309,9.24336633075756e-05,0.005886003410546564,0.010899879627269016,0.960121580299416,1.8361263509627972,,
CRV,XRP,XRP,CRV,0.6027680718738925,0.011120271634306025,0.1260297451888016,0.04289833761614913,0.9936526660694099,9.223573788275097e-05,True,0.006367563904302797,108.85594412198364,2.2678321692079924,0.0003073594210290812,0.004966549112240221,2.7409329451617837e-05,1.2314797608223345,-0.05636712438572636,,
CRV,WLD,CRV,WLD,0.16337813642575086,0.01388636128192594,0.12757157976994588,0.05161627594606762,0.9943059460964058,0.0003260374749740613,True,0.005710326830538938,121.38485258899382,2.528851095604038,-0.00015926321709339454,0.007393467650652326,-0.004150724280847395,0.8580330936882109,-0.5398631944243151,,
CRV,ENA,CRV,ENA,0.23962549722183035,0.014172943697516219,0.12757157976994588,0.05250370184867005,0.9943526815903021,0.000349837097084027,True,0.005663324802886458,122.3922703862341,2.5498389663798773,0.00010725589041777966,0.007297072271824834,0.00534887525685801,0.9291865898503417,0.718318137902918,,
UNI,XRP,XRP,UNI,0.28931963708224556,0.014961163554598395,0.12757157976994588,0.05500360626651209,0.9952934533487615,0.0007493890250527269,True,0.0047176573175492014,146.92614022250172,3.0609612546354525,0.0008873855858925168,0.005900945922639625,0.0072419263977114914,2.049260929224936,1.076868165735782,,
WLD,XRP,XRP,WLD,0.07887655710885545,0.015584987556081465,0.12757157976994588,0.05685277200516992,0.9954721440222233,0.0011689831963328512,True,0.004538137765696748,152.7382411788738,3.1820466912265375,0.00018582719905834292,0.00716857092982402,-0.0037851711763522214,1.683734743045373,-0.5539456070511459,,
