asset_a,asset_b,n_obs,pearson_r,pearson_p,pearson_q,significant_after_fdr,direction,hedge_ratio,adf_p,adf_q,is_mean_reverting,half_life_hours,half_life_hours_ci_low,half_life_hours_ci_high,current_rolling_zscore,current_ou_zscore
ARB,LDO,4620,0.6322645515585029,0.0,0.0,True,positive,0.7204909138278417,0.0002673287543815849,0.03635671059589555,True,1.162871242186297,0.16833531915061425,0.23697508934740127,2.9739309710024058,2.3471285877449106
AVAX,LDO,4620,0.6114710796872769,0.0,0.0,True,positive,0.5187695728691836,0.0016726003496238988,0.08081294972627671,True,1.641135276840414,0.18214574534166275,0.2457911210439526,3.1719645942904195,2.3874382461845123
BTC,DOGE,4620,0.8550105721694405,0.0,0.0,True,positive,0.34923113182673915,0.002292241184688645,0.08081294972627671,True,4.585315198429762,0.18984831670774413,0.2529707212719039,3.050249189064079,3.38512765366384
AAVE,BTC,4620,0.48464311600604876,8.258085000418084e-271,1.1578345979967623e-270,True,positive,0.20763881483821686,0.0023768514625375505,0.08081294972627671,True,4.468434232013863,0.1810660906859083,0.24308616089699575,2.897328927177313,3.9386624077906536
ARB,AVAX,4620,0.7150084423239159,0.0,0.0,True,positive,1.1028719643433664,0.003295787153784682,0.08964541058294336,True,2.3512662599682117,0.1955855643082721,0.24421831233680527,1.4162377195586926,0.21506896163069103
BTC,SOL,4620,0.8738149909517523,0.0,0.0,True,positive,0.0025451522564285552,0.005880142156791359,0.10243897142599911,True,3.9637955688762507,0.19530181364583887,0.2523770660013696,2.9774203772929155,2.598538753390536
BTC,WLD,4620,0.47818726627719865,1.0876032658079468e-262,1.4644954866324828e-262,True,positive,0.10914799325082683,0.006382972076376243,0.10243897142599911,True,5.547769588024942,0.1867731343884542,0.2530505095488546,2.659585030531886,3.2953631363639726
BTC,WIF,4620,0.49059543143217144,1.8814940791082545e-278,2.7514322017066946e-278,True,positive,0.018001809248032262,0.006796759090065655,0.10243897142599911,True,4.140043612115032,0.1968838977712668,0.25245042065398765,2.975753920635549,2.6186250626451084
AVAX,BTC,4620,0.6508795481670964,0.0,0.0,True,positive,0.08463800735719912,0.007224398457762352,0.10243897142599911,True,4.3425039826759635,0.1979966446407088,0.25610451085080993,2.982814178495353,2.355074782468551
ARB,BTC,4620,0.677015120800309,0.0,0.0,True,positive,0.12862051489629073,0.007532277310735229,0.10243897142599911,True,4.5847253956035185,0.19834093447840653,0.25500780653797045,3.028093333505688,2.267311907110894
UNI,XRP,4620,0.748473517228348,0.0,0.0,True,positive,0.27821832535234786,0.008655767825927703,0.10701676584783341,True,2.487321140416892,,,-0.46760526526416096,0.3813420843863792
BTC,XRP,4620,0.8655405141287658,0.0,0.0,True,positive,0.8933279838549684,0.01043684093737408,0.11057221823004465,True,2.952312116600131,,,3.0750147004032784,0.5512514802896448
LDO,WLD,4620,0.6277552215190193,0.0,0.0,True,positive,-0.0746140484043089,0.010569403213166031,0.11057221823004465,True,2.070623736586447,,,3.475912149282324,2.6316624464171605
BTC,UNI,4620,0.6951255833349428,0.0,0.0,True,positive,0.3524443858518463,0.017777125101303328,0.1698031464592651,True,1.6714981017559432,,,-0.12732902909187693,-0.8849308246367474
BTC,OP,4620,0.6372929530470866,0.0,0.0,True,positive,0.2215963316629385,0.018728288212418943,0.1698031464592651,True,4.71323897274191,,,2.967230172729454,3.5542272494342946
CRV,WIF,4620,0.48830684774422944,1.7014193305936637e-275,2.4357160943235607e-275,True,positive,-0.04638504192667108,0.02273068354547887,0.17378192281884766,True,4.348849175866971,,,2.9077950104146817,3.832901149667571
CRV,XRP,4620,0.6946285390184467,0.0,0.0,True,positive,0.5899881167784446,0.024609518206609376,0.17378192281884766,True,1.5785445520854946,,,-1.2825551499857408,-1.888502267485884
BTC,ENA,4620,0.3931707307194809,1.2056342781626705e-170,1.3439857527059278e-170,True,positive,0.19198052636381627,0.02478697035190656,0.17378192281884766,True,2.6064054169382422,,,2.789806993788555,3.8066243918685085
BTC,SUI,4620,0.7978712584667209,0.0,0.0,True,positive,0.3127754356285857,0.02506963544623015,0.17378192281884766,True,4.847141450012109,,,3.0940975158189543,1.0931596927920284
SOL,UNI,4620,0.6506979622852996,0.0,0.0,True,positive,-0.018306668998914755,0.025648450032972107,0.17378192281884766,True,2.290039852495729,,,3.427906155400405,3.9820096656356396
UNI,WIF,4620,0.2837308952694725,2.8389383562740976e-86,2.9249667913127067e-86,True,positive,0.011714879471352703,0.026833973376439713,0.17378192281884766,True,2.3034156940369663,,,3.4267674230370737,3.922832795070423
LDO,WIF,4620,0.5790545013603061,0.0,0.0,True,positive,1.1903178081086234,0.03185121049738031,0.17764022043558383,True,6.560442141026759,,,-3.3921700577763114,-1.7750683993073004
SUI,XRP,4620,0.774590306253548,0.0,0.0,True,positive,0.42394116352049893,0.03315219561445454,0.17764022043558383,True,2.164440483625959,,,2.254179456706999,0.5057471855400096
ARB,XRP,4620,0.6914191198968067,0.0,0.0,True,positive,0.27624703107462484,0.0338854494666713,0.17764022043558383,True,2.672958310350056,,,2.707706639396552,2.286746384220811
SOL,WLD,4620,0.455096447728682,4.902243477571679e-235,6.2896708768844186e-235,True,positive,-1.1996987746774719,0.0339491589663004,0.17764022043558383,True,3.3609253518271562,,,3.673456664465139,0.9282283254214287
AVAX,XRP,4620,0.6716246510618548,0.0,0.0,True,positive,0.2038740129693946,0.034214976264093394,0.17764022043558383,True,2.576001615038015,,,2.594866944516426,2.397238671328784
DOGE,WLD,4620,0.6073277613054806,0.0,0.0,True,positive,0.3830749565848938,0.03697129561615769,0.17764022043558383,True,5.738214251702409,,,1.801984839554758,3.040814987550491
